iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(22, 7)",None,Start,"[((23, 7), 'East'), ((21, 7), 'West')]",[],"['(21, 7)', '(23, 7)']","[(22, 7)]",0,0,0
2,"(23, 7)","(22, 7)",East,"[((24, 7), 'East')]","['(21, 7)']","['(24, 7)', '(21, 7)']","[(22, 7), (23, 7)]",1,0,1
3,"(21, 7)","(22, 7)",West,"[((21, 8), 'North'), ((21, 6), 'South'), ((20, 7), 'West')]","['(24, 7)']","['(20, 7)', '(21, 6)', '(21, 8)', '(24, 7)']","[(22, 7), (23, 7), (21, 7)]",1,0,1
4,"(24, 7)","(23, 7)",East,"[((25, 7), 'East')]","['(20, 7)', '(21, 6)', '(21, 8)']","['(25, 7)', '(20, 7)', '(21, 6)', '(21, 8)']","[(22, 7), (24, 7), (23, 7), (21, 7)]",2,0,2
5,"(21, 8)","(21, 7)",North,"[((21, 9), 'North')]","['(25, 7)', '(20, 7)', '(21, 6)']","['(21, 9)', '(25, 7)', '(20, 7)', '(21, 6)']","[(23, 7), (24, 7), (22, 7), (21, 8), (21, 7)]",2,0,2
6,"(21, 6)","(21, 7)",South,"[((21, 5), 'South')]","['(21, 9)', '(25, 7)', '(20, 7)']","['(21, 5)', '(21, 9)', '(25, 7)', '(20, 7)']","[(23, 7), (24, 7), (21, 6), (22, 7), (21, 8), (21, 7)]",2,0,2
7,"(20, 7)","(21, 7)",West,[],"['(21, 5)', '(21, 9)', '(25, 7)']","['(21, 5)', '(21, 9)', '(25, 7)']","[(23, 7), (24, 7), (20, 7), (21, 6), (22, 7), (21, 8), (21, 7)]",2,0,2
