iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(23, 10)",None,Start,"[((23, 11), 'North'), ((23, 9), 'South'), ((22, 10), 'West')]",[],"['(22, 10)', '(23, 9)', '(23, 11)']","[(23, 10)]",0,0,0
2,"(23, 11)","(23, 10)",North,"[((23, 12), 'North')]","['(22, 10)', '(23, 9)']","['(23, 12)', '(22, 10)', '(23, 9)']","[(23, 10), (23, 11)]",1,0,1
3,"(23, 9)","(23, 10)",South,[],"['(23, 12)', '(22, 10)']","['(23, 12)', '(22, 10)']","[(23, 10), (23, 11), (23, 9)]",1,0,1
