iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(35, 1)",None,Start,"[((35, 2), 'North', 35), ((34, 1), 'West', 33)]",[],"['(34, 1)', '(35, 2)']","[(35, 1)]",0,34,34
2,"(34, 1)","(35, 1)",West,"[((33, 1), 'West', 32)]","['(35, 2)']","['(33, 1)', '(35, 2)']","[(34, 1), (35, 1)]",1,33,33
3,"(33, 1)","(34, 1)",West,[],"['(35, 2)']","['(35, 2)']","[(33, 1), (34, 1), (35, 1)]",2,32,32
4,"(35, 2)","(35, 1)",North,"[((35, 3), 'North', 36)]",[],"['(35, 3)']","[(35, 2), (33, 1), (34, 1), (35, 1)]",1,35,35
5,"(35, 3)","(35, 2)",North,"[((35, 4), 'North', 37), ((34, 3), 'West', 35)]",[],"['(34, 3)', '(35, 4)']","[(33, 1), (34, 1), (35, 1), (35, 3), (35, 2)]",2,36,36
6,"(34, 3)","(35, 3)",West,"[((33, 3), 'West', 34)]","['(35, 4)']","['(33, 3)', '(35, 4)']","[(33, 1), (34, 1), (35, 1), (34, 3), (35, 3), (35, 2)]",3,35,35
7,"(33, 3)","(34, 3)",West,"[((33, 4), 'North', 35), ((32, 3), 'West', 33)]","['(35, 4)']","['(32, 3)', '(35, 4)', '(33, 4)']","[(33, 1), (34, 1), (35, 1), (33, 3), (34, 3), (35, 3), (35, 2)]",4,34,34
8,"(32, 3)","(33, 3)",West,"[((31, 3), 'West', 32)]","['(33, 4)', '(35, 4)']","['(31, 3)', '(35, 4)', '(33, 4)']","[(33, 1), (34, 1), (35, 1), (32, 3), (33, 3), (34, 3), (35, 3), (35, 2)]",5,33,33
9,"(31, 3)","(32, 3)",West,"[((31, 4), 'North', 33), ((31, 2), 'South', 31)]","['(33, 4)', '(35, 4)']","['(31, 2)', '(31, 4)', '(33, 4)', '(35, 4)']","[(33, 1), (34, 1), (35, 1), (32, 3), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2)]",6,32,32
10,"(31, 2)","(31, 3)",South,"[((31, 1), 'South', 30)]","['(31, 4)', '(35, 4)', '(33, 4)']","['(31, 1)', '(31, 4)', '(33, 4)', '(35, 4)']","[(33, 1), (34, 1), (35, 1), (32, 3), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (31, 2)]",7,31,31
11,"(31, 1)","(31, 2)",South,[],"['(31, 4)', '(35, 4)', '(33, 4)']","['(31, 4)', '(35, 4)', '(33, 4)']","[(33, 1), (34, 1), (35, 1), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (31, 2)]",8,30,30
12,"(31, 4)","(31, 3)",North,"[((31, 5), 'North', 34)]","['(33, 4)', '(35, 4)']","['(31, 5)', '(35, 4)', '(33, 4)']","[(33, 1), (34, 1), (35, 1), (31, 4), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (31, 2)]",7,33,33
13,"(31, 5)","(31, 4)",North,"[((31, 6), 'North', 35), ((30, 5), 'West', 33)]","['(33, 4)', '(35, 4)']","['(30, 5)', '(33, 4)', '(31, 6)', '(35, 4)']","[(31, 5), (33, 1), (34, 1), (35, 1), (31, 4), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (31, 2)]",8,34,34
14,"(30, 5)","(31, 5)",West,"[((29, 5), 'West', 32)]","['(33, 4)', '(35, 4)', '(31, 6)']","['(29, 5)', '(33, 4)', '(31, 6)', '(35, 4)']","[(31, 5), (33, 1), (34, 1), (35, 1), (31, 4), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (31, 2), (30, 5)]",9,33,33
15,"(29, 5)","(30, 5)",West,"[((29, 4), 'South', 31)]","['(33, 4)', '(35, 4)', '(31, 6)']","['(29, 4)', '(33, 4)', '(31, 6)', '(35, 4)']","[(31, 5), (33, 1), (34, 1), (35, 1), (31, 4), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (29, 5), (31, 2), (30, 5)]",10,32,32
