iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(27, 1)",None,Start,"[((27, 2), 'North'), ((26, 1), 'West')]",[],"['(27, 2)', '(26, 1)']","[(27, 1)]",0,0,0
2,"(26, 1)","(27, 1)",West,"[((25, 1), 'West')]","['(27, 2)']","['(27, 2)', '(25, 1)']","[(26, 1), (27, 1)]",1,0,1
3,"(25, 1)","(26, 1)",West,"[((24, 1), 'West')]","['(27, 2)']","['(27, 2)', '(24, 1)']","[(25, 1), (26, 1), (27, 1)]",2,0,2
4,"(24, 1)","(25, 1)",West,"[((23, 1), 'West')]","['(27, 2)']","['(27, 2)', '(23, 1)']","[(25, 1), (26, 1), (24, 1), (27, 1)]",3,0,3
5,"(23, 1)","(24, 1)",West,"[((22, 1), 'West')]","['(27, 2)']","['(27, 2)', '(22, 1)']","[(23, 1), (26, 1), (24, 1), (27, 1), (25, 1)]",4,0,4
6,"(22, 1)","(23, 1)",West,"[((21, 1), 'West')]","['(27, 2)']","['(27, 2)', '(21, 1)']","[(23, 1), (26, 1), (24, 1), (27, 1), (22, 1), (25, 1)]",5,0,5
7,"(21, 1)","(22, 1)",West,"[((20, 1), 'West')]","['(27, 2)']","['(27, 2)', '(20, 1)']","[(23, 1), (26, 1), (24, 1), (27, 1), (22, 1), (25, 1), (21, 1)]",6,0,6
8,"(20, 1)","(21, 1)",West,"[((19, 1), 'West')]","['(27, 2)']","['(27, 2)', '(19, 1)']","[(23, 1), (26, 1), (24, 1), (27, 1), (22, 1), (20, 1), (25, 1), (21, 1)]",7,0,7
9,"(19, 1)","(20, 1)",West,"[((18, 1), 'West')]","['(27, 2)']","['(27, 2)', '(18, 1)']","[(23, 1), (26, 1), (24, 1), (27, 1), (22, 1), (19, 1), (20, 1), (25, 1), (21, 1)]",8,0,8
10,"(18, 1)","(19, 1)",West,"[((17, 1), 'West')]","['(27, 2)']","['(27, 2)', '(17, 1)']","[(23, 1), (26, 1), (18, 1), (24, 1), (27, 1), (22, 1), (19, 1), (20, 1), (25, 1), (21, 1)]",9,0,9
11,"(17, 1)","(18, 1)",West,"[((16, 1), 'West')]","['(27, 2)']","['(27, 2)', '(16, 1)']","[(17, 1), (23, 1), (26, 1), (18, 1), (24, 1), (27, 1), (22, 1), (19, 1), (20, 1), (25, 1), (21, 1)]",10,0,10
