iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(4, 3)",None,Start,"[((4, 2), 'South'), ((5, 3), 'East'), ((3, 3), 'West')]",[],"['(3, 3)', '(5, 3)', '(4, 2)']","[(4, 3)]",0,0,0
2,"(4, 2)","(4, 3)",South,"[((4, 1), 'South'), ((5, 2), 'East'), ((3, 2), 'West')]","['(3, 3)', '(5, 3)']","['(3, 2)', '(5, 2)', '(4, 1)', '(3, 3)', '(5, 3)']","[(4, 2), (4, 3)]",1,0,1
3,"(5, 3)","(4, 3)",East,"[((6, 3), 'East')]","['(3, 2)', '(5, 2)', '(4, 1)', '(3, 3)']","['(6, 3)', '(3, 2)', '(5, 2)', '(4, 1)', '(3, 3)']","[(5, 3), (4, 2), (4, 3)]",1,0,1
4,"(3, 3)","(4, 3)",West,[],"['(6, 3)', '(3, 2)', '(5, 2)', '(4, 1)']","['(6, 3)', '(3, 2)', '(5, 2)', '(4, 1)']","[(5, 3), (3, 3), (4, 2), (4, 3)]",1,0,1
