iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(10, 1)",None,Start,"[((11, 1), 'East'), ((9, 1), 'West')]",[],"['(9, 1)', '(11, 1)']","[(10, 1)]",0,0,0
2,"(11, 1)","(10, 1)",East,"[((11, 2), 'North'), ((12, 1), 'East')]","['(9, 1)']","['(12, 1)', '(11, 2)', '(9, 1)']","[(11, 1), (10, 1)]",1,0,1
3,"(9, 1)","(10, 1)",West,"[((8, 1), 'West')]","['(12, 1)', '(11, 2)']","['(8, 1)', '(12, 1)', '(11, 2)']","[(11, 1), (9, 1), (10, 1)]",1,0,1
4,"(11, 2)","(11, 1)",North,"[((11, 3), 'North')]","['(8, 1)', '(12, 1)']","['(11, 3)', '(8, 1)', '(12, 1)']","[(11, 1), (11, 2), (9, 1), (10, 1)]",2,0,2
5,"(12, 1)","(11, 1)",East,"[((13, 1), 'East')]","['(11, 3)', '(8, 1)']","['(13, 1)', '(11, 3)', '(8, 1)']","[(11, 1), (12, 1), (10, 1), (11, 2), (9, 1)]",2,0,2
6,"(8, 1)","(9, 1)",West,"[((7, 1), 'West')]","['(13, 1)', '(11, 3)']","['(7, 1)', '(13, 1)', '(11, 3)']","[(11, 1), (12, 1), (8, 1), (10, 1), (11, 2), (9, 1)]",2,0,2
7,"(11, 3)","(11, 2)",North,"[((12, 3), 'East'), ((10, 3), 'West')]","['(7, 1)', '(13, 1)']","['(10, 3)', '(12, 3)', '(7, 1)', '(13, 1)']","[(11, 1), (12, 1), (8, 1), (11, 3), (10, 1), (11, 2), (9, 1)]",3,0,3
8,"(13, 1)","(12, 1)",East,"[((14, 1), 'East')]","['(10, 3)', '(12, 3)', '(7, 1)']","['(14, 1)', '(10, 3)', '(12, 3)', '(7, 1)']","[(11, 1), (12, 1), (13, 1), (8, 1), (11, 3), (10, 1), (11, 2), (9, 1)]",3,0,3
9,"(7, 1)","(8, 1)",West,"[((7, 2), 'North')]","['(14, 1)', '(10, 3)', '(12, 3)']","['(7, 2)', '(14, 1)', '(10, 3)', '(12, 3)']","[(11, 1), (12, 1), (7, 1), (13, 1), (8, 1), (11, 3), (10, 1), (11, 2), (9, 1)]",3,0,3
10,"(12, 3)","(11, 3)",East,"[((13, 3), 'East')]","['(7, 2)', '(14, 1)', '(10, 3)']","['(13, 3)', '(7, 2)', '(14, 1)', '(10, 3)']","[(11, 1), (12, 1), (7, 1), (13, 1), (8, 1), (11, 3), (10, 1), (12, 3), (11, 2), (9, 1)]",4,0,4
11,"(10, 3)","(11, 3)",West,[],"['(13, 3)', '(7, 2)', '(14, 1)']","['(13, 3)', '(7, 2)', '(14, 1)']","[(11, 1), (12, 1), (7, 1), (13, 1), (8, 1), (11, 3), (10, 1), (12, 3), (11, 2), (10, 3), (9, 1)]",4,0,4
