iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(18, 11)",None,Start,"[((19, 11), 'East'), ((17, 11), 'West')]",[],"['(17, 11)', '(19, 11)']","[(18, 11)]",0,0,0
2,"(19, 11)","(18, 11)",East,"[((19, 12), 'North'), ((20, 11), 'East')]","['(17, 11)']","['(20, 11)', '(19, 12)', '(17, 11)']","[(18, 11), (19, 11)]",1,0,1
3,"(17, 11)","(18, 11)",West,[],"['(20, 11)', '(19, 12)']","['(20, 11)', '(19, 12)']","[(17, 11), (18, 11), (19, 11)]",1,0,1
