iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(28, 11)",None,Start,"[((28, 12), 'North'), ((28, 10), 'South'), ((29, 11), 'East'), ((27, 11), 'West')]",[],"['(27, 11)', '(29, 11)', '(28, 10)', '(28, 12)']","[(28, 11)]",0,0,0
2,"(28, 12)","(28, 11)",North,"[((28, 13), 'North'), ((29, 12), 'East'), ((27, 12), 'West')]","['(27, 11)', '(29, 11)', '(28, 10)']","['(27, 12)', '(29, 12)', '(28, 13)', '(27, 11)', '(29, 11)', '(28, 10)']","[(28, 11), (28, 12)]",1,0,1
3,"(28, 10)","(28, 11)",South,[],"['(27, 12)', '(29, 12)', '(28, 13)', '(27, 11)', '(29, 11)']","['(27, 12)', '(29, 12)', '(28, 13)', '(27, 11)', '(29, 11)']","[(28, 11), (28, 12), (28, 10)]",1,0,1
