iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
16,"(27, 9)","(27, 8)",North,"[((26, 9), 'West')]","['(19, 1)']","['(26, 9)', '(19, 1)']","[(27, 2), (27, 8), (27, 9), (23, 1), (26, 1), (27, 5), (24, 1), (27, 1), (22, 1), (20, 1), (27, 4), (27, 7), (27, 6), (27, 3), (25, 1), (21, 1)]",8,0,8
17,"(19, 1)","(20, 1)",West,"[((18, 1), 'West')]","['(26, 9)']","['(18, 1)', '(26, 9)']","[(27, 2), (27, 8), (27, 9), (23, 1), (26, 1), (27, 5), (24, 1), (27, 1), (22, 1), (19, 1), (20, 1), (27, 4), (27, 7), (27, 6), (27, 3), (25, 1), (21, 1)]",8,0,8
18,"(26, 9)","(27, 9)",West,"[((25, 9), 'West')]","['(18, 1)']","['(25, 9)', '(18, 1)']","[(27, 2), (27, 8), (27, 9), (23, 1), (26, 1), (27, 5), (24, 1), (27, 1), (22, 1), (19, 1), (20, 1), (27, 4), (27, 7), (27, 6), (26, 9), (27, 3), (25, 1), (21, 1)]",9,0,9
19,"(18, 1)","(19, 1)",West,"[((17, 1), 'West')]","['(25, 9)']","['(17, 1)', '(25, 9)']","[(23, 1), (27, 1), (27, 4), (27, 7), (25, 1), (18, 1), (22, 1), (20, 1), (27, 6), (27, 3), (27, 9), (26, 1), (24, 1), (27, 2), (27, 8), (27, 5), (19, 1), (26, 9), (21, 1)]",9,0,9
20,"(25, 9)","(26, 9)",West,"[((24, 9), 'West')]","['(17, 1)']","['(24, 9)', '(17, 1)']","[(23, 1), (27, 1), (27, 4), (27, 7), (25, 1), (18, 1), (22, 1), (20, 1), (27, 6), (27, 3), (27, 9), (26, 1), (24, 1), (25, 9), (27, 2), (27, 8), (27, 5), (19, 1), (26, 9), (21, 1)]",10,0,10
21,"(17, 1)","(18, 1)",West,"[((16, 1), 'West')]","['(24, 9)']","['(16, 1)', '(24, 9)']","[(23, 1), (27, 1), (27, 4), (27, 7), (25, 1), (18, 1), (22, 1), (20, 1), (27, 6), (27, 3), (27, 9), (26, 1), (24, 1), (25, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (26, 9), (21, 1)]",10,0,10
22,"(24, 9)","(25, 9)",West,"[((23, 9), 'West')]","['(16, 1)']","['(23, 9)', '(16, 1)']","[(23, 1), (27, 1), (27, 4), (27, 7), (25, 1), (18, 1), (22, 1), (20, 1), (27, 6), (27, 3), (27, 9), (26, 1), (24, 1), (25, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (24, 9), (26, 9), (21, 1)]",11,0,11
23,"(16, 1)","(17, 1)",West,"[((15, 1), 'West')]","['(23, 9)']","['(15, 1)', '(23, 9)']","[(23, 1), (27, 1), (27, 4), (27, 7), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (27, 6), (27, 3), (27, 9), (26, 1), (24, 1), (25, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (24, 9), (26, 9), (21, 1)]",11,0,11
24,"(23, 9)","(24, 9)",West,"[((22, 9), 'West')]","['(15, 1)']","['(22, 9)', '(15, 1)']","[(23, 1), (27, 1), (27, 4), (27, 7), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (23, 9), (27, 6), (27, 3), (27, 9), (26, 1), (24, 1), (25, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (24, 9), (26, 9), (21, 1)]",12,0,12
25,"(15, 1)","(16, 1)",West,"[((14, 1), 'West')]","['(22, 9)']","['(14, 1)', '(22, 9)']","[(23, 1), (27, 1), (27, 4), (27, 7), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (23, 9), (27, 6), (27, 3), (27, 9), (26, 1), (24, 1), (25, 9), (15, 1), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (24, 9), (26, 9), (21, 1)]",12,0,12
26,"(22, 9)","(23, 9)",West,"[((21, 9), 'West')]","['(14, 1)']","['(21, 9)', '(14, 1)']","[(23, 1), (27, 1), (27, 4), (27, 7), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (23, 9), (27, 6), (27, 3), (27, 9), (26, 1), (24, 1), (25, 9), (15, 1), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (24, 9), (26, 9), (21, 1)]",13,0,13
27,"(14, 1)","(15, 1)",West,"[((13, 1), 'West')]","['(21, 9)']","['(13, 1)', '(21, 9)']","[(23, 1), (27, 1), (14, 1), (27, 4), (27, 7), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (23, 9), (27, 6), (27, 3), (27, 9), (26, 1), (24, 1), (25, 9), (15, 1), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (24, 9), (26, 9), (21, 1)]",13,0,13
