iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
23,"(9, 17)","(10, 17)",West,"[((8, 17), 'West')]","['(1, 18)']","['(1, 18)', '(8, 17)']","[(6, 15), (3, 16), (4, 15), (3, 19), (5, 19), (9, 17), (8, 15), (11, 17), (10, 15), (4, 17), (3, 15), (5, 18), (5, 15), (11, 16), (10, 17), (2, 19), (7, 15), (4, 19), (3, 17), (5, 17), (9, 15), (11, 15), (1, 19)]",22,0,22
24,"(8, 17)","(9, 17)",West,"[((7, 17), 'West')]","['(1, 18)']","['(1, 18)', '(7, 17)']","[(6, 15), (3, 16), (4, 15), (3, 19), (5, 19), (9, 17), (8, 15), (11, 17), (10, 15), (4, 17), (3, 15), (5, 18), (5, 15), (11, 16), (8, 17), (10, 17), (2, 19), (7, 15), (4, 19), (3, 17), (5, 17), (9, 15), (11, 15), (1, 19)]",23,0,23
25,"(7, 17)","(8, 17)",West,"[((7, 18), 'North')]","['(1, 18)']","['(1, 18)', '(7, 18)']","[(7, 17), (6, 15), (3, 16), (4, 15), (3, 19), (5, 19), (9, 17), (8, 15), (11, 17), (10, 15), (4, 17), (3, 15), (5, 18), (5, 15), (11, 16), (8, 17), (10, 17), (2, 19), (7, 15), (4, 19), (3, 17), (5, 17), (9, 15), (11, 15), (1, 19)]",24,0,24
26,"(7, 18)","(7, 17)",North,"[((7, 19), 'North')]","['(1, 18)']","['(1, 18)', '(7, 19)']","[(7, 17), (6, 15), (3, 16), (4, 15), (3, 19), (5, 19), (9, 17), (8, 15), (11, 17), (10, 15), (4, 17), (3, 15), (5, 18), (5, 15), (11, 16), (8, 17), (10, 17), (2, 19), (7, 15), (7, 18), (4, 19), (3, 17), (5, 17), (9, 15), (11, 15), (1, 19)]",25,0,25
27,"(7, 19)","(7, 18)",North,"[((8, 19), 'East')]","['(1, 18)']","['(1, 18)', '(8, 19)']","[(7, 17), (6, 15), (3, 16), (4, 15), (3, 19), (5, 19), (9, 17), (8, 15), (11, 17), (10, 15), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (11, 16), (8, 17), (10, 17), (2, 19), (7, 15), (7, 18), (4, 19), (3, 17), (5, 17), (9, 15), (11, 15), (1, 19)]",26,0,26
28,"(8, 19)","(7, 19)",East,"[((9, 19), 'East')]","['(1, 18)']","['(1, 18)', '(9, 19)']","[(7, 17), (6, 15), (3, 16), (4, 15), (3, 19), (5, 19), (9, 17), (8, 15), (11, 17), (10, 15), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (11, 16), (8, 17), (10, 17), (2, 19), (7, 15), (7, 18), (4, 19), (3, 17), (5, 17), (9, 15), (8, 19), (11, 15), (1, 19)]",27,0,27
29,"(9, 19)","(8, 19)",East,"[((10, 19), 'East')]","['(1, 18)']","['(1, 18)', '(10, 19)']","[(7, 17), (6, 15), (3, 16), (4, 15), (3, 19), (5, 19), (9, 17), (8, 15), (11, 17), (10, 15), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (9, 19), (11, 16), (8, 17), (10, 17), (2, 19), (7, 15), (7, 18), (4, 19), (3, 17), (5, 17), (9, 15), (8, 19), (11, 15), (1, 19)]",28,0,28
30,"(10, 19)","(9, 19)",East,"[((11, 19), 'East')]","['(1, 18)']","['(1, 18)', '(11, 19)']","[(7, 17), (6, 15), (3, 16), (4, 15), (3, 19), (5, 19), (9, 17), (8, 15), (11, 17), (10, 15), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (9, 19), (11, 16), (8, 17), (10, 17), (2, 19), (7, 15), (7, 18), (4, 19), (3, 17), (5, 17), (9, 15), (8, 19), (11, 15), (10, 19), (1, 19)]",29,0,29
31,"(11, 19)","(10, 19)",East,"[((12, 19), 'East')]","['(1, 18)']","['(1, 18)', '(12, 19)']","[(7, 17), (6, 15), (3, 16), (4, 15), (3, 19), (5, 19), (9, 17), (8, 15), (11, 17), (10, 15), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (9, 19), (11, 16), (8, 17), (11, 19), (10, 17), (2, 19), (7, 15), (7, 18), (4, 19), (3, 17), (5, 17), (9, 15), (8, 19), (11, 15), (10, 19), (1, 19)]",30,0,30
32,"(12, 19)","(11, 19)",East,"[((13, 19), 'East')]","['(1, 18)']","['(1, 18)', '(13, 19)']","[(7, 17), (6, 15), (12, 19), (3, 16), (4, 15), (3, 19), (5, 19), (9, 17), (8, 15), (11, 17), (10, 15), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (9, 19), (11, 16), (8, 17), (11, 19), (10, 17), (2, 19), (7, 15), (7, 18), (4, 19), (3, 17), (5, 17), (9, 15), (8, 19), (11, 15), (10, 19), (1, 19)]",31,0,31
33,"(13, 19)","(12, 19)",East,"[((14, 19), 'East')]","['(1, 18)']","['(1, 18)', '(14, 19)']","[(7, 17), (6, 15), (12, 19), (3, 16), (4, 15), (3, 19), (5, 19), (9, 17), (8, 15), (11, 17), (10, 15), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (9, 19), (11, 16), (8, 17), (11, 19), (10, 17), (2, 19), (13, 19), (7, 15), (7, 18), (4, 19), (3, 17), (5, 17), (9, 15), (8, 19), (11, 15), (10, 19), (1, 19)]",32,0,32
34,"(14, 19)","(13, 19)",East,"[((15, 19), 'East')]","['(1, 18)']","['(1, 18)', '(15, 19)']","[(7, 17), (6, 15), (12, 19), (3, 16), (4, 15), (3, 19), (14, 19), (5, 19), (9, 17), (8, 15), (11, 17), (10, 15), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (9, 19), (11, 16), (8, 17), (11, 19), (10, 17), (2, 19), (13, 19), (7, 15), (7, 18), (4, 19), (3, 17), (5, 17), (9, 15), (8, 19), (11, 15), (10, 19), (1, 19)]",33,0,33
35,"(15, 19)","(14, 19)",East,"[((16, 19), 'East')]","['(1, 18)']","['(1, 18)', '(16, 19)']","[(7, 17), (6, 15), (12, 19), (3, 16), (4, 15), (3, 19), (14, 19), (5, 19), (9, 17), (8, 15), (11, 17), (10, 15), (7, 19), (4, 17), (3, 15), (5, 18), (5, 15), (9, 19), (11, 16), (8, 17), (11, 19), (10, 17), (2, 19), (13, 19), (15, 19), (7, 15), (7, 18), (4, 19), (3, 17), (5, 17), (9, 15), (8, 19), (11, 15), (10, 19), (1, 19)]",34,0,34
