iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(11, 13)",None,Start,"[((11, 12), 'South'), ((12, 13), 'East'), ((10, 13), 'West')]",[],"['(10, 13)', '(12, 13)', '(11, 12)']","[(11, 13)]",0,0,0
2,"(11, 12)","(11, 13)",South,"[((11, 11), 'South')]","['(10, 13)', '(12, 13)']","['(11, 11)', '(10, 13)', '(12, 13)']","[(11, 12), (11, 13)]",1,0,1
3,"(12, 13)","(11, 13)",East,[],"['(11, 11)', '(10, 13)']","['(11, 11)', '(10, 13)']","[(11, 12), (11, 13), (12, 13)]",1,0,1
