iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,A,None,Start,"[('B1', '0:A->B1'), ('C', '1:A->C'), ('B2', '2:A->B2')]",[],"['B2', 'C', 'B1']",['A'],0,0,0
2,B1,A,0:A->B1,[],"['B2', 'C']","['B2', 'C']","['A', 'B1']",1,0,1
3,C,A,1:A->C,"[('D', '0:C->D')]",['B2'],"['D', 'B2']","['A', 'B1', 'C']",1,0,1
4,B2,A,2:A->B2,[],['D'],['D'],"['A', 'B1', 'C', 'B2']",1,0,1
5,D,C,0:C->D,"[('E1', '0:D->E1'), ('F', '1:D->F'), ('E2', '2:D->E2')]",[],"['E2', 'F', 'E1']","['D', 'A', 'B1', 'B2', 'C']",2,0,2
6,E1,D,0:D->E1,[],"['E2', 'F']","['E2', 'F']","['D', 'A', 'E1', 'B1', 'B2', 'C']",3,0,3
7,F,D,1:D->F,"[('G', '0:F->G')]",['E2'],"['G', 'E2']","['D', 'A', 'E1', 'B1', 'F', 'B2', 'C']",3,0,3
8,E2,D,2:D->E2,[],['G'],['G'],"['D', 'A', 'E1', 'E2', 'B1', 'F', 'B2', 'C']",3,0,3
9,G,F,0:F->G,[],[],[],"['D', 'A', 'E1', 'E2', 'G', 'B1', 'F', 'B2', 'C']",4,0,4
