iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(1, 2)",None,Start,"[((1, 3), 'North'), ((1, 1), 'South'), ((2, 2), 'East')]",[],"['(2, 2)', '(1, 1)', '(1, 3)']","[(1, 2)]",0,0,0
2,"(1, 3)","(1, 2)",North,"[((2, 3), 'East')]","['(2, 2)', '(1, 1)']","['(2, 3)', '(2, 2)', '(1, 1)']","[(1, 2), (1, 3)]",1,0,1
3,"(1, 1)","(1, 2)",South,"[((2, 1), 'East')]","['(2, 3)', '(2, 2)']","['(2, 1)', '(2, 3)', '(2, 2)']","[(1, 1), (1, 2), (1, 3)]",1,0,1
4,"(2, 2)","(1, 2)",East,[],"['(2, 1)', '(2, 3)']","['(2, 1)', '(2, 3)']","[(1, 1), (1, 2), (1, 3), (2, 2)]",1,0,1
