iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(29, 13)",None,Start,"[((29, 12), 'South'), ((28, 13), 'West')]",[],"['(28, 13)', '(29, 12)']","[(29, 13)]",0,0,0
2,"(29, 12)","(29, 13)",South,"[((29, 11), 'South'), ((28, 12), 'West')]","['(28, 13)']","['(28, 12)', '(29, 11)', '(28, 13)']","[(29, 12), (29, 13)]",1,0,1
3,"(28, 13)","(29, 13)",West,"[((27, 13), 'West')]","['(28, 12)', '(29, 11)']","['(27, 13)', '(28, 12)', '(29, 11)']","[(28, 13), (29, 12), (29, 13)]",1,0,1
4,"(29, 11)","(29, 12)",South,"[((29, 10), 'South'), ((28, 11), 'West')]","['(27, 13)', '(28, 12)']","['(28, 11)', '(29, 10)', '(27, 13)', '(28, 12)']","[(28, 13), (29, 11), (29, 12), (29, 13)]",2,0,2
5,"(28, 12)","(29, 12)",West,"[((27, 12), 'West')]","['(28, 11)', '(29, 10)', '(27, 13)']","['(27, 12)', '(28, 11)', '(29, 10)', '(27, 13)']","[(28, 13), (29, 13), (28, 12), (29, 12), (29, 11)]",2,0,2
6,"(27, 13)","(28, 13)",West,"[((26, 13), 'West')]","['(27, 12)', '(28, 11)', '(29, 10)']","['(26, 13)', '(27, 12)', '(28, 11)', '(29, 10)']","[(28, 13), (29, 13), (27, 13), (28, 12), (29, 12), (29, 11)]",2,0,2
7,"(29, 10)","(29, 11)",South,"[((28, 10), 'West')]","['(26, 13)', '(27, 12)', '(28, 11)']","['(28, 10)', '(26, 13)', '(27, 12)', '(28, 11)']","[(29, 10), (28, 13), (29, 13), (27, 13), (28, 12), (29, 12), (29, 11)]",3,0,3
8,"(28, 11)","(29, 11)",West,"[((27, 11), 'West')]","['(28, 10)', '(26, 13)', '(27, 12)']","['(27, 11)', '(28, 10)', '(26, 13)', '(27, 12)']","[(29, 10), (28, 13), (29, 13), (27, 13), (28, 12), (29, 12), (28, 11), (29, 11)]",3,0,3
9,"(27, 12)","(28, 12)",West,"[((26, 12), 'West')]","['(27, 11)', '(28, 10)', '(26, 13)']","['(26, 12)', '(27, 11)', '(28, 10)', '(26, 13)']","[(29, 10), (28, 13), (29, 13), (27, 13), (28, 12), (29, 12), (28, 11), (29, 11), (27, 12)]",3,0,3
10,"(26, 13)","(27, 13)",West,[],"['(26, 12)', '(27, 11)', '(28, 10)']","['(26, 12)', '(27, 11)', '(28, 10)']","[(29, 10), (28, 13), (26, 13), (29, 13), (27, 13), (28, 12), (29, 12), (28, 11), (29, 11), (27, 12)]",3,0,3
