iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(9, 5)",None,Start,"[((9, 4), 'South')]",[],"['(9, 4)']","[(9, 5)]",0,0,0
2,"(9, 4)","(9, 5)",South,"[((9, 3), 'South')]",[],"['(9, 3)']","[(9, 5), (9, 4)]",1,0,1
3,"(9, 3)","(9, 4)",South,"[((10, 3), 'East')]",[],"['(10, 3)']","[(9, 5), (9, 3), (9, 4)]",2,0,2
4,"(10, 3)","(9, 3)",East,"[((11, 3), 'East')]",[],"['(11, 3)']","[(9, 5), (10, 3), (9, 3), (9, 4)]",3,0,3
5,"(11, 3)","(10, 3)",East,"[((11, 2), 'South'), ((12, 3), 'East')]",[],"['(12, 3)', '(11, 2)']","[(9, 3), (11, 3), (9, 5), (10, 3), (9, 4)]",4,0,4
6,"(11, 2)","(11, 3)",South,"[((11, 1), 'South')]","['(12, 3)']","['(11, 1)', '(12, 3)']","[(9, 3), (11, 3), (9, 5), (11, 2), (10, 3), (9, 4)]",5,0,5
7,"(12, 3)","(11, 3)",East,"[((13, 3), 'East')]","['(11, 1)']","['(13, 3)', '(11, 1)']","[(9, 3), (11, 3), (12, 3), (9, 5), (11, 2), (10, 3), (9, 4)]",5,0,5
8,"(11, 1)","(11, 2)",South,"[((12, 1), 'East'), ((10, 1), 'West')]","['(13, 3)']","['(10, 1)', '(12, 1)', '(13, 3)']","[(11, 1), (9, 3), (11, 3), (12, 3), (9, 5), (11, 2), (10, 3), (9, 4)]",6,0,6
9,"(13, 3)","(12, 3)",East,"[((14, 3), 'East')]","['(10, 1)', '(12, 1)']","['(14, 3)', '(10, 1)', '(12, 1)']","[(11, 1), (9, 3), (11, 3), (12, 3), (9, 5), (11, 2), (13, 3), (10, 3), (9, 4)]",6,0,6
10,"(12, 1)","(11, 1)",East,"[((13, 1), 'East')]","['(14, 3)', '(10, 1)']","['(13, 1)', '(14, 3)', '(10, 1)']","[(11, 1), (12, 1), (9, 3), (11, 3), (12, 3), (9, 5), (11, 2), (13, 3), (10, 3), (9, 4)]",7,0,7
11,"(10, 1)","(11, 1)",West,"[((9, 1), 'West')]","['(13, 1)', '(14, 3)']","['(9, 1)', '(13, 1)', '(14, 3)']","[(11, 1), (12, 1), (9, 3), (11, 3), (10, 1), (12, 3), (9, 5), (11, 2), (13, 3), (10, 3), (9, 4)]",7,0,7
