iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
22,"(6, 1)","(7, 1)",West,"[((5, 1), 'West', 22, 4, 26)]","['(27, 2)']","['(5, 1)', '(27, 2)']","[(23, 1), (12, 1), (27, 1), (14, 1), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (17, 1), (19, 1), (8, 1), (10, 1), (21, 1)]",21,5,26
23,"(5, 1)","(6, 1)",West,"[((4, 1), 'West', 23, 3, 26)]","['(27, 2)']","['(4, 1)', '(27, 2)']","[(23, 1), (12, 1), (27, 1), (14, 1), (5, 1), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (17, 1), (19, 1), (8, 1), (10, 1), (21, 1)]",22,4,26
24,"(4, 1)","(5, 1)",West,"[((3, 1), 'West', 24, 2, 26)]","['(27, 2)']","['(3, 1)', '(27, 2)']","[(23, 1), (12, 1), (27, 1), (14, 1), (5, 1), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (4, 1), (17, 1), (19, 1), (8, 1), (10, 1), (21, 1)]",23,3,26
25,"(3, 1)","(4, 1)",West,"[((3, 2), 'North', 25, 3, 28)]","['(27, 2)']","['(27, 2)', '(3, 2)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (5, 1), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (4, 1), (17, 1), (19, 1), (8, 1), (10, 1), (21, 1)]",24,2,26
26,"(27, 2)","(27, 1)",North,"[((27, 3), 'North', 2, 28, 30)]","['(3, 2)']","['(3, 2)', '(27, 3)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (5, 1), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (4, 1), (27, 2), (17, 1), (19, 1), (8, 1), (10, 1), (21, 1)]",1,27,28
27,"(3, 2)","(3, 1)",North,"[((3, 3), 'North', 26, 4, 30)]","['(27, 3)']","['(27, 3)', '(3, 3)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (5, 1), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (3, 2), (4, 1), (27, 2), (17, 1), (19, 1), (8, 1), (10, 1), (21, 1)]",25,3,28
28,"(27, 3)","(27, 2)",North,"[((27, 4), 'North', 3, 29, 32)]","['(3, 3)']","['(3, 3)', '(27, 4)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (5, 1), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (27, 3), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (3, 2), (4, 1), (27, 2), (17, 1), (19, 1), (8, 1), (10, 1), (21, 1)]",2,28,30
29,"(3, 3)","(3, 2)",North,"[((4, 3), 'East', 27, 5, 32)]","['(27, 4)']","['(27, 4)', '(4, 3)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (5, 1), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (3, 3), (27, 3), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (3, 2), (4, 1), (27, 2), (17, 1), (19, 1), (8, 1), (10, 1), (21, 1)]",26,4,30
30,"(27, 4)","(27, 3)",North,"[((27, 5), 'North', 4, 30, 34)]","['(4, 3)']","['(4, 3)', '(27, 5)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (27, 4), (5, 1), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (3, 3), (27, 3), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (3, 2), (4, 1), (27, 2), (17, 1), (19, 1), (8, 1), (10, 1), (21, 1)]",3,29,32
31,"(4, 3)","(3, 3)",East,"[((5, 3), 'East', 28, 6, 34)]","['(27, 5)']","['(27, 5)', '(5, 3)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (4, 3), (27, 4), (5, 1), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (3, 3), (27, 3), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (3, 2), (4, 1), (27, 2), (17, 1), (19, 1), (8, 1), (10, 1), (21, 1)]",27,5,32
32,"(27, 5)","(27, 4)",North,"[((27, 6), 'North', 5, 31, 36)]","['(5, 3)']","['(5, 3)', '(27, 6)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (4, 3), (27, 4), (5, 1), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (3, 3), (27, 3), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (3, 2), (4, 1), (27, 2), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (21, 1)]",4,30,34
33,"(5, 3)","(4, 3)",East,"[((6, 3), 'East', 29, 7, 36)]","['(27, 6)']","['(27, 6)', '(6, 3)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (4, 3), (27, 4), (5, 1), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (3, 3), (5, 3), (27, 3), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (3, 2), (4, 1), (27, 2), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (21, 1)]",28,6,34
34,"(27, 6)","(27, 5)",North,"[((27, 7), 'North', 6, 32, 38)]","['(6, 3)']","['(6, 3)', '(27, 7)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (4, 3), (27, 4), (5, 1), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (3, 3), (27, 6), (5, 3), (27, 3), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (3, 2), (4, 1), (27, 2), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (21, 1)]",5,31,36
35,"(6, 3)","(5, 3)",East,"[((7, 3), 'East', 30, 8, 38)]","['(27, 7)']","['(27, 7)', '(7, 3)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (4, 3), (27, 4), (5, 1), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (3, 3), (27, 6), (5, 3), (27, 3), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (3, 2), (4, 1), (27, 2), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (6, 3), (21, 1)]",29,7,36
36,"(27, 7)","(27, 6)",North,"[((27, 8), 'North', 7, 33, 40)]","['(7, 3)']","['(7, 3)', '(27, 8)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (4, 3), (27, 4), (5, 1), (27, 7), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (3, 3), (27, 6), (5, 3), (27, 3), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (3, 2), (4, 1), (27, 2), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (6, 3), (21, 1)]",6,32,38
37,"(7, 3)","(6, 3)",East,"[((8, 3), 'East', 31, 9, 40)]","['(27, 8)']","['(27, 8)', '(8, 3)']","[(23, 1), (12, 1), (27, 1), (14, 1), (3, 1), (4, 3), (27, 4), (5, 1), (27, 7), (25, 1), (16, 1), (18, 1), (7, 1), (22, 1), (20, 1), (3, 3), (27, 6), (5, 3), (27, 3), (9, 1), (11, 1), (26, 1), (24, 1), (13, 1), (6, 1), (15, 1), (7, 3), (3, 2), (4, 1), (27, 2), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (6, 3), (21, 1)]",30,8,38
