iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
17,"(32, 10)","(33, 10)",West,"[((31, 10), 'West', 39)]","['(33, 16)']","['(31, 10)', '(33, 16)']","[(30, 14), (31, 14), (33, 10), (32, 14), (30, 13), (34, 16), (34, 10), (33, 12), (32, 10), (34, 12), (30, 12), (34, 15), (31, 12), (34, 11), (33, 14), (32, 12), (34, 14)]",16,40,40
18,"(31, 10)","(32, 10)",West,"[((30, 10), 'West', 38)]","['(33, 16)']","['(30, 10)', '(33, 16)']","[(30, 14), (31, 14), (33, 10), (32, 14), (30, 13), (34, 16), (34, 10), (31, 10), (33, 12), (32, 10), (34, 12), (30, 12), (34, 15), (31, 12), (34, 11), (33, 14), (32, 12), (34, 14)]",17,39,39
19,"(30, 10)","(31, 10)",West,"[((30, 9), 'South', 37), ((29, 10), 'West', 37)]","['(33, 16)']","['(30, 9)', '(33, 16)', '(29, 10)']","[(31, 14), (34, 10), (34, 16), (30, 12), (33, 14), (32, 12), (31, 10), (34, 12), (34, 15), (30, 14), (33, 10), (32, 14), (31, 12), (34, 11), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",18,38,38
20,"(30, 9)","(30, 10)",South,"[((30, 8), 'South', 36)]","['(29, 10)', '(33, 16)']","['(30, 8)', '(33, 16)', '(29, 10)']","[(31, 14), (34, 10), (34, 16), (30, 9), (30, 12), (33, 14), (32, 12), (31, 10), (34, 12), (34, 15), (30, 14), (33, 10), (32, 14), (31, 12), (34, 11), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",19,37,37
21,"(30, 8)","(30, 9)",South,"[((31, 8), 'East', 37)]","['(29, 10)', '(33, 16)']","['(29, 10)', '(33, 16)', '(31, 8)']","[(31, 14), (34, 10), (34, 16), (30, 9), (30, 12), (33, 14), (32, 12), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 14), (31, 12), (34, 11), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",20,36,36
22,"(29, 10)","(30, 10)",West,[],"['(31, 8)', '(33, 16)']","['(31, 8)', '(33, 16)']","[(31, 14), (34, 10), (34, 16), (30, 9), (30, 12), (33, 14), (32, 12), (29, 10), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 14), (31, 12), (34, 11), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",19,37,37
23,"(31, 8)","(30, 8)",East,"[((32, 8), 'East', 38)]","['(33, 16)']","['(32, 8)', '(33, 16)']","[(31, 8), (31, 14), (34, 10), (34, 16), (30, 9), (30, 12), (33, 14), (32, 12), (29, 10), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 14), (31, 12), (34, 11), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",21,37,37
24,"(32, 8)","(31, 8)",East,"[((33, 8), 'East', 39)]","['(33, 16)']","['(33, 8)', '(33, 16)']","[(31, 8), (31, 14), (34, 10), (34, 16), (30, 9), (30, 12), (33, 14), (32, 12), (29, 10), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",22,38,38
25,"(33, 8)","(32, 8)",East,"[((34, 8), 'East', 40)]","['(33, 16)']","['(34, 8)', '(33, 16)']","[(31, 8), (31, 14), (34, 10), (34, 16), (30, 9), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",23,39,39
26,"(34, 8)","(33, 8)",East,"[((34, 7), 'South', 39)]","['(33, 16)']","['(34, 7)', '(33, 16)']","[(31, 8), (31, 14), (34, 10), (34, 16), (30, 9), (30, 12), (33, 8), (33, 14), (32, 12), (29, 10), (31, 10), (34, 12), (34, 15), (30, 8), (30, 14), (33, 10), (32, 8), (32, 14), (31, 12), (34, 11), (34, 8), (34, 14), (30, 13), (30, 10), (33, 12), (32, 10)]",24,40,40
