iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(36, 16)",None,Start,"[((36, 15), 'South', 68719476736), ((35, 16), 'West', 34359738368)]",[],"['(35, 16)', '(36, 15)']","[(36, 16)]",0,0,0
2,"(35, 16)","(36, 16)",West,"[((35, 15), 'South', 68719476736), ((34, 16), 'West', 51539607552)]","['(36, 15)']","['(34, 16)', '(35, 15)', '(36, 15)']","[(35, 16), (36, 16)]",34359738368,0,34359738368
3,"(34, 16)","(35, 16)",West,"[((33, 16), 'West', 60129542144)]","['(36, 15)', '(35, 15)']","['(33, 16)', '(35, 15)', '(36, 15)']","[(34, 16), (35, 16), (36, 16)]",51539607552,0,51539607552
4,"(33, 16)","(34, 16)",West,"[((32, 16), 'West', 64424509440)]","['(36, 15)', '(35, 15)']","['(32, 16)', '(35, 15)', '(36, 15)']","[(34, 16), (35, 16), (33, 16), (36, 16)]",60129542144,0,60129542144
5,"(32, 16)","(33, 16)",West,"[((31, 16), 'West', 66571993088)]","['(36, 15)', '(35, 15)']","['(31, 16)', '(35, 15)', '(36, 15)']","[(33, 16), (34, 16), (35, 16), (36, 16), (32, 16)]",64424509440,0,64424509440
6,"(31, 16)","(32, 16)",West,"[((30, 16), 'West', 67645734912)]","['(36, 15)', '(35, 15)']","['(30, 16)', '(35, 15)', '(36, 15)']","[(33, 16), (34, 16), (35, 16), (36, 16), (31, 16), (32, 16)]",66571993088,0,66571993088
7,"(30, 16)","(31, 16)",West,"[((29, 16), 'West', 68182605824)]","['(36, 15)', '(35, 15)']","['(29, 16)', '(35, 15)', '(36, 15)']","[(33, 16), (34, 16), (35, 16), (30, 16), (36, 16), (31, 16), (32, 16)]",67645734912,0,67645734912
8,"(29, 16)","(30, 16)",West,"[((28, 16), 'West', 68451041280)]","['(36, 15)', '(35, 15)']","['(28, 16)', '(35, 15)', '(36, 15)']","[(33, 16), (34, 16), (29, 16), (35, 16), (30, 16), (36, 16), (31, 16), (32, 16)]",68182605824,0,68182605824
9,"(28, 16)","(29, 16)",West,"[((27, 16), 'West', 68585259008)]","['(36, 15)', '(35, 15)']","['(27, 16)', '(35, 15)', '(36, 15)']","[(33, 16), (28, 16), (34, 16), (29, 16), (35, 16), (30, 16), (36, 16), (31, 16), (32, 16)]",68451041280,0,68451041280
10,"(27, 16)","(28, 16)",West,"[((26, 16), 'West', 68652367872)]","['(36, 15)', '(35, 15)']","['(26, 16)', '(35, 15)', '(36, 15)']","[(33, 16), (28, 16), (34, 16), (29, 16), (35, 16), (30, 16), (36, 16), (31, 16), (32, 16), (27, 16)]",68585259008,0,68585259008
11,"(26, 16)","(27, 16)",West,"[((26, 15), 'South', 68719476736), ((25, 16), 'West', 68685922304)]","['(36, 15)', '(35, 15)']","['(25, 16)', '(36, 15)', '(26, 15)', '(35, 15)']","[(33, 16), (28, 16), (34, 16), (29, 16), (35, 16), (30, 16), (36, 16), (31, 16), (26, 16), (32, 16), (27, 16)]",68652367872,0,68652367872
12,"(25, 16)","(26, 16)",West,"[((25, 15), 'South', 68719476736), ((24, 16), 'West', 68702699520)]","['(36, 15)', '(35, 15)', '(26, 15)']","['(24, 16)', '(36, 15)', '(26, 15)', '(25, 15)', '(35, 15)']","[(25, 16), (33, 16), (28, 16), (34, 16), (29, 16), (35, 16), (30, 16), (36, 16), (31, 16), (26, 16), (32, 16), (27, 16)]",68685922304,0,68685922304
