iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(28, 12)",None,Start,"[((28, 13), 'North'), ((28, 11), 'South'), ((29, 12), 'East'), ((27, 12), 'West')]",[],"['(27, 12)', '(29, 12)', '(28, 11)', '(28, 13)']","[(28, 12)]",0,0,0
2,"(28, 13)","(28, 12)",North,"[((29, 13), 'East'), ((27, 13), 'West')]","['(27, 12)', '(29, 12)', '(28, 11)']","['(27, 13)', '(29, 13)', '(27, 12)', '(29, 12)', '(28, 11)']","[(28, 12), (28, 13)]",1,0,1
3,"(28, 11)","(28, 12)",South,[],"['(27, 13)', '(29, 13)', '(27, 12)', '(29, 12)']","['(27, 13)', '(29, 13)', '(27, 12)', '(29, 12)']","[(28, 11), (28, 12), (28, 13)]",1,0,1
