iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(18, 3)",None,Start,"[((19, 3), 'East'), ((17, 3), 'West')]",[],"['(17, 3)', '(19, 3)']","[(18, 3)]",0,0,0
2,"(19, 3)","(18, 3)",East,"[((19, 2), 'South'), ((20, 3), 'East')]","['(17, 3)']","['(20, 3)', '(19, 2)', '(17, 3)']","[(19, 3), (18, 3)]",1,0,1
3,"(17, 3)","(18, 3)",West,"[((16, 3), 'West')]","['(20, 3)', '(19, 2)']","['(16, 3)', '(20, 3)', '(19, 2)']","[(19, 3), (17, 3), (18, 3)]",1,0,1
4,"(19, 2)","(19, 3)",South,"[((19, 1), 'South')]","['(16, 3)', '(20, 3)']","['(19, 1)', '(16, 3)', '(20, 3)']","[(19, 2), (19, 3), (17, 3), (18, 3)]",2,0,2
5,"(20, 3)","(19, 3)",East,"[((21, 3), 'East')]","['(19, 1)', '(16, 3)']","['(21, 3)', '(19, 1)', '(16, 3)']","[(17, 3), (18, 3), (19, 3), (20, 3), (19, 2)]",2,0,2
6,"(16, 3)","(17, 3)",West,"[((16, 4), 'North')]","['(21, 3)', '(19, 1)']","['(16, 4)', '(21, 3)', '(19, 1)']","[(16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (19, 2)]",2,0,2
7,"(19, 1)","(19, 2)",South,"[((18, 1), 'West')]","['(16, 4)', '(21, 3)']","['(18, 1)', '(16, 4)', '(21, 3)']","[(19, 1), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (19, 2)]",3,0,3
8,"(21, 3)","(20, 3)",East,"[((21, 4), 'North')]","['(18, 1)', '(16, 4)']","['(21, 4)', '(18, 1)', '(16, 4)']","[(19, 1), (21, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (19, 2)]",3,0,3
9,"(16, 4)","(16, 3)",North,"[((16, 5), 'North')]","['(21, 4)', '(18, 1)']","['(16, 5)', '(21, 4)', '(18, 1)']","[(19, 1), (21, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (19, 2), (16, 4)]",3,0,3
10,"(18, 1)","(19, 1)",West,"[((17, 1), 'West')]","['(16, 5)', '(21, 4)']","['(17, 1)', '(16, 5)', '(21, 4)']","[(18, 1), (19, 1), (21, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (19, 2), (16, 4)]",4,0,4
11,"(21, 4)","(21, 3)",North,"[((21, 5), 'North')]","['(17, 1)', '(16, 5)']","['(21, 5)', '(17, 1)', '(16, 5)']","[(18, 1), (19, 1), (21, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (19, 2), (21, 4), (16, 4)]",4,0,4
12,"(16, 5)","(16, 4)",North,"[((17, 5), 'East')]","['(21, 5)', '(17, 1)']","['(17, 5)', '(21, 5)', '(17, 1)']","[(18, 1), (19, 1), (21, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (16, 5), (19, 2), (21, 4), (16, 4)]",4,0,4
13,"(17, 1)","(18, 1)",West,"[((16, 1), 'West')]","['(17, 5)', '(21, 5)']","['(16, 1)', '(17, 5)', '(21, 5)']","[(17, 1), (18, 1), (19, 1), (21, 3), (16, 3), (17, 3), (18, 3), (19, 3), (20, 3), (16, 5), (19, 2), (21, 4), (16, 4)]",5,0,5
14,"(21, 5)","(21, 4)",North,"[((21, 6), 'North')]","['(16, 1)', '(17, 5)']","['(21, 6)', '(16, 1)', '(17, 5)']","[(17, 1), (18, 1), (19, 1), (21, 3), (16, 3), (17, 3), (18, 3), (19, 3), (21, 5), (20, 3), (16, 5), (19, 2), (21, 4), (16, 4)]",5,0,5
15,"(17, 5)","(16, 5)",East,"[((18, 5), 'East')]","['(21, 6)', '(16, 1)']","['(18, 5)', '(21, 6)', '(16, 1)']","[(17, 1), (18, 1), (19, 1), (21, 3), (16, 3), (17, 3), (18, 3), (19, 3), (21, 5), (20, 3), (16, 5), (17, 5), (19, 2), (21, 4), (16, 4)]",5,0,5
16,"(16, 1)","(17, 1)",West,"[((15, 1), 'West')]","['(18, 5)', '(21, 6)']","['(15, 1)', '(18, 5)', '(21, 6)']","[(17, 1), (18, 1), (19, 1), (21, 3), (16, 3), (17, 3), (18, 3), (19, 3), (21, 5), (20, 3), (16, 5), (17, 5), (19, 2), (21, 4), (16, 4), (16, 1)]",6,0,6
17,"(21, 6)","(21, 5)",North,"[((21, 7), 'North')]","['(15, 1)', '(18, 5)']","['(21, 7)', '(15, 1)', '(18, 5)']","[(17, 1), (18, 1), (19, 1), (21, 3), (16, 3), (17, 3), (21, 6), (18, 3), (19, 3), (21, 5), (20, 3), (16, 5), (17, 5), (19, 2), (21, 4), (16, 4), (16, 1)]",6,0,6
18,"(18, 5)","(17, 5)",East,"[((19, 5), 'East')]","['(21, 7)', '(15, 1)']","['(19, 5)', '(21, 7)', '(15, 1)']","[(17, 1), (18, 1), (19, 1), (21, 3), (16, 3), (17, 3), (21, 6), (18, 3), (19, 3), (21, 5), (20, 3), (16, 5), (17, 5), (19, 2), (18, 5), (21, 4), (16, 4), (16, 1)]",6,0,6
