iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(26, 12)",None,Start,"[((26, 13), 'North'), ((26, 11), 'South'), ((27, 12), 'East'), ((25, 12), 'West')]",[],"['(25, 12)', '(27, 12)', '(26, 11)', '(26, 13)']","[(26, 12)]",0,0,0
2,"(26, 13)","(26, 12)",North,"[((27, 13), 'East'), ((25, 13), 'West')]","['(25, 12)', '(27, 12)', '(26, 11)']","['(25, 13)', '(27, 13)', '(25, 12)', '(27, 12)', '(26, 11)']","[(26, 12), (26, 13)]",1,0,1
3,"(26, 11)","(26, 12)",South,[],"['(25, 13)', '(27, 13)', '(25, 12)', '(27, 12)']","['(25, 13)', '(27, 13)', '(25, 12)', '(27, 12)']","[(26, 11), (26, 12), (26, 13)]",1,0,1
