iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(5, 2)",None,Start,"[((5, 3), 'North'), ((5, 1), 'South'), ((4, 2), 'West')]",[],"['(4, 2)', '(5, 1)', '(5, 3)']","[(5, 2)]",0,0,0
2,"(5, 3)","(5, 2)",North,"[((6, 3), 'East'), ((4, 3), 'West')]","['(4, 2)', '(5, 1)']","['(4, 3)', '(6, 3)', '(4, 2)', '(5, 1)']","[(5, 3), (5, 2)]",1,0,1
3,"(5, 1)","(5, 2)",South,[],"['(4, 3)', '(6, 3)', '(4, 2)']","['(4, 3)', '(6, 3)', '(4, 2)']","[(5, 3), (5, 1), (5, 2)]",1,0,1
