iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(35, 1)",None,Start,"[((35, 2), 'North', 34.0147027033899), ((34, 1), 'West', 33.0)]",[],"['(34, 1)', '(35, 2)']","[(35, 1)]",0,34.0,34.0
2,"(34, 1)","(35, 1)",West,"[((33, 1), 'West', 32.0)]","['(35, 2)']","['(33, 1)', '(35, 2)']","[(34, 1), (35, 1)]",1,33.0,33.0
3,"(33, 1)","(34, 1)",West,[],"['(35, 2)']","['(35, 2)']","[(33, 1), (34, 1), (35, 1)]",2,32.0,32.0
4,"(35, 2)","(35, 1)",North,"[((35, 3), 'North', 34.058772731852805)]",[],"['(35, 3)']","[(35, 2), (33, 1), (34, 1), (35, 1)]",1,34.0147027033899,34.0147027033899
5,"(35, 3)","(35, 2)",North,"[((35, 4), 'North', 34.132096331752024), ((34, 3), 'West', 33.06055050963308)]",[],"['(34, 3)', '(35, 4)']","[(33, 1), (34, 1), (35, 1), (35, 3), (35, 2)]",2,34.058772731852805,34.058772731852805
6,"(34, 3)","(35, 3)",West,"[((33, 3), 'West', 32.0624390837628)]","['(35, 4)']","['(33, 3)', '(35, 4)']","[(33, 1), (34, 1), (35, 1), (34, 3), (35, 3), (35, 2)]",3,33.06055050963308,33.06055050963308
7,"(33, 3)","(34, 3)",West,"[((33, 4), 'North', 32.14031735997639), ((32, 3), 'West', 31.064449134018133)]","['(35, 4)']","['(32, 3)', '(35, 4)', '(33, 4)']","[(33, 1), (34, 1), (35, 1), (33, 3), (34, 3), (35, 3), (35, 2)]",4,32.0624390837628,32.0624390837628
8,"(32, 3)","(33, 3)",West,"[((31, 3), 'West', 30.066592756745816)]","['(33, 4)', '(35, 4)']","['(31, 3)', '(35, 4)', '(33, 4)']","[(33, 1), (34, 1), (35, 1), (32, 3), (33, 3), (34, 3), (35, 3), (35, 2)]",5,31.064449134018133,31.064449134018133
9,"(31, 3)","(32, 3)",West,"[((31, 4), 'North', 30.14962686336267), ((31, 2), 'South', 30.01666203960727)]","['(33, 4)', '(35, 4)']","['(31, 2)', '(31, 4)', '(33, 4)', '(35, 4)']","[(33, 1), (34, 1), (35, 1), (32, 3), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2)]",6,30.066592756745816,30.066592756745816
10,"(31, 2)","(31, 3)",South,"[((31, 1), 'South', 30.0)]","['(31, 4)', '(35, 4)', '(33, 4)']","['(31, 1)', '(31, 4)', '(33, 4)', '(35, 4)']","[(33, 1), (34, 1), (35, 1), (32, 3), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (31, 2)]",7,30.01666203960727,30.01666203960727
