iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(10, 7)",None,Start,"[((11, 7), 'East'), ((9, 7), 'West')]",[],"['(9, 7)', '(11, 7)']","[(10, 7)]",0,0,0
2,"(11, 7)","(10, 7)",East,"[((11, 8), 'North'), ((11, 6), 'South')]","['(9, 7)']","['(11, 6)', '(11, 8)', '(9, 7)']","[(11, 7), (10, 7)]",1,0,1
3,"(9, 7)","(10, 7)",West,"[((9, 8), 'North'), ((8, 7), 'West')]","['(11, 6)', '(11, 8)']","['(8, 7)', '(9, 8)', '(11, 6)', '(11, 8)']","[(11, 7), (9, 7), (10, 7)]",1,0,1
4,"(11, 8)","(11, 7)",North,"[((11, 9), 'North')]","['(8, 7)', '(9, 8)', '(11, 6)']","['(11, 9)', '(8, 7)', '(9, 8)', '(11, 6)']","[(11, 7), (11, 8), (9, 7), (10, 7)]",2,0,2
5,"(11, 6)","(11, 7)",South,"[((11, 5), 'South')]","['(11, 9)', '(8, 7)', '(9, 8)']","['(11, 5)', '(11, 9)', '(8, 7)', '(9, 8)']","[(11, 7), (10, 7), (11, 6), (11, 8), (9, 7)]",2,0,2
6,"(9, 8)","(9, 7)",North,"[((9, 9), 'North')]","['(11, 5)', '(11, 9)', '(8, 7)']","['(9, 9)', '(11, 5)', '(11, 9)', '(8, 7)']","[(11, 7), (10, 7), (11, 6), (9, 8), (11, 8), (9, 7)]",2,0,2
7,"(8, 7)","(9, 7)",West,[],"['(9, 9)', '(11, 5)', '(11, 9)']","['(9, 9)', '(11, 5)', '(11, 9)']","[(11, 7), (8, 7), (10, 7), (11, 6), (9, 8), (11, 8), (9, 7)]",2,0,2
