iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(21, 1)",None,Start,"[((22, 1), 'East')]",[],"['(22, 1)']","[(21, 1)]",0,0,0
2,"(22, 1)","(21, 1)",East,"[((23, 1), 'East')]",[],"['(23, 1)']","[(22, 1), (21, 1)]",1,0,1
3,"(23, 1)","(22, 1)",East,"[((23, 2), 'North')]",[],"['(23, 2)']","[(22, 1), (23, 1), (21, 1)]",2,0,2
4,"(23, 2)","(23, 1)",North,"[((23, 3), 'North')]",[],"['(23, 3)']","[(22, 1), (23, 1), (23, 2), (21, 1)]",3,0,3
5,"(23, 3)","(23, 2)",North,"[((23, 4), 'North'), ((24, 3), 'East')]",[],"['(24, 3)', '(23, 4)']","[(23, 1), (22, 1), (23, 3), (23, 2), (21, 1)]",4,0,4
6,"(23, 4)","(23, 3)",North,"[((23, 5), 'North')]","['(24, 3)']","['(23, 5)', '(24, 3)']","[(23, 4), (23, 1), (22, 1), (23, 3), (23, 2), (21, 1)]",5,0,5
7,"(24, 3)","(23, 3)",East,[],"['(23, 5)']","['(23, 5)']","[(23, 4), (23, 1), (22, 1), (23, 3), (24, 3), (23, 2), (21, 1)]",5,0,5
