iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(2, 1)",None,Start,"[((2, 2), 'North'), ((3, 1), 'East'), ((1, 1), 'West')]",[],"['(1, 1)', '(3, 1)', '(2, 2)']","[(2, 1)]",0,0,0
2,"(2, 2)","(2, 1)",North,"[((2, 3), 'North'), ((3, 2), 'East'), ((1, 2), 'West')]","['(1, 1)', '(3, 1)']","['(1, 2)', '(3, 2)', '(2, 3)', '(1, 1)', '(3, 1)']","[(2, 1), (2, 2)]",1,0,1
3,"(3, 1)","(2, 1)",East,[],"['(1, 2)', '(3, 2)', '(2, 3)', '(1, 1)']","['(1, 2)', '(3, 2)', '(2, 3)', '(1, 1)']","[(3, 1), (2, 1), (2, 2)]",1,0,1
