iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(21, 11)",None,Start,"[((21, 10), 'South'), ((20, 11), 'West')]",[],"['(20, 11)', '(21, 10)']","[(21, 11)]",0,0,0
2,"(21, 10)","(21, 11)",South,"[((21, 9), 'South'), ((22, 10), 'East')]","['(20, 11)']","['(22, 10)', '(21, 9)', '(20, 11)']","[(21, 10), (21, 11)]",1,0,1
3,"(20, 11)","(21, 11)",West,[],"['(22, 10)', '(21, 9)']","['(22, 10)', '(21, 9)']","[(20, 11), (21, 10), (21, 11)]",1,0,1
