iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(2, 10)",None,Start,"[((3, 10), 'East'), ((1, 10), 'West')]",[],"['(1, 10)', '(3, 10)']","[(2, 10)]",0,0,0
2,"(3, 10)","(2, 10)",East,"[((3, 11), 'North'), ((3, 9), 'South')]","['(1, 10)']","['(3, 9)', '(3, 11)', '(1, 10)']","[(2, 10), (3, 10)]",1,0,1
3,"(1, 10)","(2, 10)",West,"[((1, 11), 'North')]","['(3, 9)', '(3, 11)']","['(1, 11)', '(3, 9)', '(3, 11)']","[(2, 10), (3, 10), (1, 10)]",1,0,1
4,"(3, 11)","(3, 10)",North,"[((4, 11), 'East')]","['(1, 11)', '(3, 9)']","['(4, 11)', '(1, 11)', '(3, 9)']","[(2, 10), (3, 10), (1, 10), (3, 11)]",2,0,2
5,"(3, 9)","(3, 10)",South,"[((3, 8), 'South')]","['(4, 11)', '(1, 11)']","['(3, 8)', '(4, 11)', '(1, 11)']","[(2, 10), (3, 10), (3, 9), (1, 10), (3, 11)]",2,0,2
6,"(1, 11)","(1, 10)",North,"[((1, 12), 'North')]","['(3, 8)', '(4, 11)']","['(1, 12)', '(3, 8)', '(4, 11)']","[(1, 11), (2, 10), (3, 10), (3, 9), (1, 10), (3, 11)]",2,0,2
7,"(4, 11)","(3, 11)",East,"[((5, 11), 'East')]","['(1, 12)', '(3, 8)']","['(5, 11)', '(1, 12)', '(3, 8)']","[(1, 11), (2, 10), (3, 10), (3, 9), (1, 10), (4, 11), (3, 11)]",3,0,3
8,"(3, 8)","(3, 9)",South,"[((2, 8), 'West')]","['(5, 11)', '(1, 12)']","['(2, 8)', '(5, 11)', '(1, 12)']","[(3, 8), (1, 11), (2, 10), (3, 10), (3, 9), (1, 10), (4, 11), (3, 11)]",3,0,3
9,"(1, 12)","(1, 11)",North,"[((1, 13), 'North')]","['(2, 8)', '(5, 11)']","['(1, 13)', '(2, 8)', '(5, 11)']","[(1, 12), (3, 8), (1, 11), (2, 10), (3, 10), (3, 9), (1, 10), (4, 11), (3, 11)]",3,0,3
10,"(5, 11)","(4, 11)",East,"[((5, 12), 'North')]","['(1, 13)', '(2, 8)']","['(5, 12)', '(1, 13)', '(2, 8)']","[(1, 12), (3, 8), (5, 11), (1, 11), (2, 10), (3, 10), (3, 9), (1, 10), (4, 11), (3, 11)]",4,0,4
11,"(2, 8)","(3, 8)",West,"[((1, 8), 'West')]","['(5, 12)', '(1, 13)']","['(1, 8)', '(5, 12)', '(1, 13)']","[(1, 12), (3, 8), (5, 11), (2, 8), (1, 11), (2, 10), (3, 10), (3, 9), (1, 10), (4, 11), (3, 11)]",4,0,4
12,"(1, 13)","(1, 12)",North,"[((2, 13), 'East')]","['(1, 8)', '(5, 12)']","['(2, 13)', '(1, 8)', '(5, 12)']","[(1, 12), (3, 8), (5, 11), (2, 8), (1, 11), (2, 10), (3, 10), (1, 13), (3, 9), (1, 10), (4, 11), (3, 11)]",4,0,4
13,"(5, 12)","(5, 11)",North,"[((5, 13), 'North')]","['(2, 13)', '(1, 8)']","['(5, 13)', '(2, 13)', '(1, 8)']","[(1, 12), (3, 8), (5, 11), (2, 8), (1, 11), (2, 10), (3, 10), (1, 13), (3, 9), (1, 10), (4, 11), (5, 12), (3, 11)]",5,0,5
14,"(1, 8)","(2, 8)",West,"[((1, 7), 'South')]","['(5, 13)', '(2, 13)']","['(1, 7)', '(5, 13)', '(2, 13)']","[(1, 12), (3, 8), (5, 11), (2, 8), (1, 11), (2, 10), (1, 8), (3, 10), (1, 13), (3, 9), (1, 10), (4, 11), (5, 12), (3, 11)]",5,0,5
15,"(2, 13)","(1, 13)",East,"[((3, 13), 'East')]","['(1, 7)', '(5, 13)']","['(3, 13)', '(1, 7)', '(5, 13)']","[(1, 12), (3, 8), (5, 11), (2, 8), (1, 11), (2, 10), (1, 8), (3, 10), (2, 13), (1, 13), (3, 9), (1, 10), (4, 11), (5, 12), (3, 11)]",5,0,5
