iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(1, 4)",None,Start,"[((1, 3), 'South'), ((2, 4), 'East')]",[],"['(2, 4)', '(1, 3)']","[(1, 4)]",0,0,0
2,"(1, 3)","(1, 4)",South,"[((1, 2), 'South'), ((2, 3), 'East')]","['(2, 4)']","['(2, 3)', '(1, 2)', '(2, 4)']","[(1, 3), (1, 4)]",1,0,1
3,"(2, 4)","(1, 4)",East,"[((3, 4), 'East')]","['(2, 3)', '(1, 2)']","['(3, 4)', '(2, 3)', '(1, 2)']","[(2, 4), (1, 3), (1, 4)]",1,0,1
4,"(1, 2)","(1, 3)",South,"[((1, 1), 'South'), ((2, 2), 'East')]","['(3, 4)', '(2, 3)']","['(2, 2)', '(1, 1)', '(3, 4)', '(2, 3)']","[(2, 4), (1, 2), (1, 3), (1, 4)]",2,0,2
5,"(2, 3)","(1, 3)",East,"[((3, 3), 'East')]","['(2, 2)', '(1, 1)', '(3, 4)']","['(3, 3)', '(2, 2)', '(1, 1)', '(3, 4)']","[(2, 4), (1, 2), (1, 4), (2, 3), (1, 3)]",2,0,2
6,"(3, 4)","(2, 4)",East,"[((3, 5), 'North')]","['(3, 3)', '(2, 2)', '(1, 1)']","['(3, 5)', '(3, 3)', '(2, 2)', '(1, 1)']","[(2, 4), (1, 2), (3, 4), (1, 4), (2, 3), (1, 3)]",2,0,2
7,"(1, 1)","(1, 2)",South,[],"['(3, 5)', '(3, 3)', '(2, 2)']","['(3, 5)', '(3, 3)', '(2, 2)']","[(2, 4), (1, 2), (3, 4), (1, 1), (1, 4), (2, 3), (1, 3)]",3,0,3
