iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(1, 19)",None,Start,"[((1, 18), 'South', 1), ((2, 19), 'East', 1)]",[],"['(1, 18)', '(2, 19)']","[(1, 19)]",0,0,0
2,"(1, 18)","(1, 19)",South,"[((1, 17), 'South', 2)]","['(2, 19)']","['(2, 19)', '(1, 17)']","[(1, 18), (1, 19)]",1,0,1
3,"(2, 19)","(1, 19)",East,"[((3, 19), 'East', 2)]","['(1, 17)']","['(1, 17)', '(3, 19)']","[(1, 18), (1, 19), (2, 19)]",1,0,1
4,"(1, 17)","(1, 18)",South,"[((1, 16), 'South', 3)]","['(3, 19)']","['(3, 19)', '(1, 16)']","[(1, 17), (1, 18), (1, 19), (2, 19)]",2,0,2
5,"(3, 19)","(2, 19)",East,"[((4, 19), 'East', 3)]","['(1, 16)']","['(1, 16)', '(4, 19)']","[(1, 18), (2, 19), (1, 17), (3, 19), (1, 19)]",2,0,2
6,"(1, 16)","(1, 17)",South,"[((1, 15), 'South', 4)]","['(4, 19)']","['(4, 19)', '(1, 15)']","[(1, 18), (2, 19), (1, 17), (3, 19), (1, 16), (1, 19)]",3,0,3
7,"(4, 19)","(3, 19)",East,"[((5, 19), 'East', 4)]","['(1, 15)']","['(1, 15)', '(5, 19)']","[(1, 18), (4, 19), (2, 19), (1, 17), (3, 19), (1, 16), (1, 19)]",3,0,3
8,"(1, 15)","(1, 16)",South,"[((1, 14), 'South', 5)]","['(5, 19)']","['(5, 19)', '(1, 14)']","[(1, 18), (1, 15), (4, 19), (2, 19), (1, 17), (3, 19), (1, 16), (1, 19)]",4,0,4
9,"(5, 19)","(4, 19)",East,"[((5, 18), 'South', 5)]","['(1, 14)']","['(1, 14)', '(5, 18)']","[(1, 18), (5, 19), (1, 15), (4, 19), (2, 19), (1, 17), (3, 19), (1, 16), (1, 19)]",4,0,4
10,"(1, 14)","(1, 15)",South,"[((1, 13), 'South', 6)]","['(5, 18)']","['(5, 18)', '(1, 13)']","[(1, 18), (5, 19), (1, 15), (4, 19), (1, 14), (2, 19), (1, 17), (3, 19), (1, 16), (1, 19)]",5,0,5
