iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(15, 9)",None,Start,"[((15, 8), 'South'), ((16, 9), 'East'), ((14, 9), 'West')]",[],"['(14, 9)', '(16, 9)', '(15, 8)']","[(15, 9)]",0,0,0
2,"(15, 8)","(15, 9)",South,"[((15, 7), 'South')]","['(14, 9)', '(16, 9)']","['(15, 7)', '(14, 9)', '(16, 9)']","[(15, 8), (15, 9)]",1,0,1
3,"(16, 9)","(15, 9)",East,"[((16, 10), 'North')]","['(15, 7)', '(14, 9)']","['(16, 10)', '(15, 7)', '(14, 9)']","[(16, 9), (15, 8), (15, 9)]",1,0,1
4,"(14, 9)","(15, 9)",West,"[((14, 10), 'North'), ((13, 9), 'West')]","['(16, 10)', '(15, 7)']","['(13, 9)', '(14, 10)', '(16, 10)', '(15, 7)']","[(16, 9), (14, 9), (15, 8), (15, 9)]",1,0,1
5,"(15, 7)","(15, 8)",South,"[((16, 7), 'East'), ((14, 7), 'West')]","['(13, 9)', '(14, 10)', '(16, 10)']","['(14, 7)', '(16, 7)', '(13, 9)', '(14, 10)', '(16, 10)']","[(15, 8), (16, 9), (15, 7), (14, 9), (15, 9)]",2,0,2
6,"(16, 10)","(16, 9)",North,"[((16, 11), 'North')]","['(14, 7)', '(16, 7)', '(13, 9)', '(14, 10)']","['(16, 11)', '(14, 7)', '(16, 7)', '(13, 9)', '(14, 10)']","[(16, 10), (15, 8), (16, 9), (15, 7), (14, 9), (15, 9)]",2,0,2
7,"(14, 10)","(14, 9)",North,"[((14, 11), 'North')]","['(16, 11)', '(14, 7)', '(16, 7)', '(13, 9)']","['(14, 11)', '(16, 11)', '(14, 7)', '(16, 7)', '(13, 9)']","[(16, 10), (15, 8), (16, 9), (15, 7), (14, 10), (14, 9), (15, 9)]",2,0,2
8,"(13, 9)","(14, 9)",West,"[((12, 9), 'West')]","['(14, 11)', '(16, 11)', '(14, 7)', '(16, 7)']","['(12, 9)', '(14, 11)', '(16, 11)', '(14, 7)', '(16, 7)']","[(16, 10), (15, 8), (16, 9), (15, 7), (14, 10), (13, 9), (14, 9), (15, 9)]",2,0,2
9,"(16, 7)","(15, 7)",East,"[((17, 7), 'East')]","['(12, 9)', '(14, 11)', '(16, 11)', '(14, 7)']","['(17, 7)', '(12, 9)', '(14, 11)', '(16, 11)', '(14, 7)']","[(16, 7), (16, 10), (15, 8), (16, 9), (15, 7), (14, 10), (13, 9), (14, 9), (15, 9)]",3,0,3
10,"(14, 7)","(15, 7)",West,"[((13, 7), 'West')]","['(17, 7)', '(12, 9)', '(14, 11)', '(16, 11)']","['(13, 7)', '(17, 7)', '(12, 9)', '(14, 11)', '(16, 11)']","[(16, 7), (16, 10), (15, 8), (14, 7), (16, 9), (15, 7), (14, 10), (13, 9), (14, 9), (15, 9)]",3,0,3
11,"(16, 11)","(16, 10)",North,"[((17, 11), 'East')]","['(13, 7)', '(17, 7)', '(12, 9)', '(14, 11)']","['(17, 11)', '(13, 7)', '(17, 7)', '(12, 9)', '(14, 11)']","[(16, 7), (16, 10), (15, 8), (14, 7), (16, 9), (15, 7), (14, 10), (13, 9), (14, 9), (15, 9), (16, 11)]",3,0,3
12,"(14, 11)","(14, 10)",North,"[((13, 11), 'West')]","['(17, 11)', '(13, 7)', '(17, 7)', '(12, 9)']","['(13, 11)', '(17, 11)', '(13, 7)', '(17, 7)', '(12, 9)']","[(16, 7), (16, 10), (15, 8), (14, 7), (16, 9), (15, 7), (14, 10), (13, 9), (14, 9), (15, 9), (16, 11), (14, 11)]",3,0,3
