iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(28, 10)",None,Start,"[((28, 11), 'North'), ((29, 10), 'East'), ((27, 10), 'West')]",[],"['(27, 10)', '(29, 10)', '(28, 11)']","[(28, 10)]",0,0,0
2,"(28, 11)","(28, 10)",North,"[((28, 12), 'North'), ((29, 11), 'East'), ((27, 11), 'West')]","['(27, 10)', '(29, 10)']","['(27, 11)', '(29, 11)', '(28, 12)', '(27, 10)', '(29, 10)']","[(28, 11), (28, 10)]",1,0,1
3,"(29, 10)","(28, 10)",East,[],"['(27, 11)', '(29, 11)', '(28, 12)', '(27, 10)']","['(27, 11)', '(29, 11)', '(28, 12)', '(27, 10)']","[(28, 11), (29, 10), (28, 10)]",1,0,1
