iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
28,"((1, 3), ())","((1, 2), ())",North,"[(((1, 4), ()), 'North', 19, 52, 71)]","['((2, 1), ((1, 1),))', '((2, 2), ((1, 1),))', '((11, 4), ())', '((3, 6), ())', '((5, 6), ())']","['((2, 1), ((1, 1),))', '((2, 2), ((1, 1),))', '((11, 4), ())', '((3, 6), ())', '((5, 6), ())', '((1, 4), ())']","[((1, 1), ((1, 1),)), ((3, 1), ()), ((6, 2), ()), ((1, 2), ()), ((9, 4), ()), ((4, 4), ()), ((1, 2), ((1, 1),)), ((3, 3), ()), ((6, 4), ()), ((1, 4), ((1, 1),)), ((9, 2), ()), ((2, 2), ()), ((8, 2), ()), ((3, 2), ()), ((10, 4), ()), ((8, 4), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((1, 3), ()), ((9, 3), ()), ((1, 3), ((1, 1),)), ((7, 4), ()), ((3, 5), ()), ((2, 1), ()), ((5, 2), ()), ((5, 1), ())]",18,51,69
29,"((2, 1), ((1, 1),))","((1, 1), ((1, 1),))",East,"[(((3, 1), ((1, 1),)), 'East', 20, 51, 71)]","['((2, 2), ((1, 1),))', '((5, 6), ())', '((11, 4), ())', '((3, 6), ())', '((1, 4), ())']","['((2, 2), ((1, 1),))', '((5, 6), ())', '((11, 4), ())', '((3, 6), ())', '((1, 4), ())', '((3, 1), ((1, 1),))']","[((1, 1), ((1, 1),)), ((3, 1), ()), ((6, 2), ()), ((1, 2), ()), ((9, 4), ()), ((4, 4), ()), ((1, 2), ((1, 1),)), ((3, 3), ()), ((6, 4), ()), ((1, 4), ((1, 1),)), ((9, 2), ()), ((2, 2), ()), ((8, 2), ()), ((3, 2), ()), ((10, 4), ()), ((8, 4), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((1, 3), ()), ((9, 3), ()), ((1, 3), ((1, 1),)), ((7, 4), ()), ((3, 5), ()), ((2, 1), ()), ((5, 2), ()), ((5, 1), ()), ((2, 1), ((1, 1),))]",19,50,69
30,"((2, 2), ((1, 1),))","((1, 2), ((1, 1),))",East,"[(((3, 2), ((1, 1),)), 'East', 21, 50, 71)]","['((11, 4), ())', '((5, 6), ())', '((3, 1), ((1, 1),))', '((3, 6), ())', '((1, 4), ())']","['((11, 4), ())', '((5, 6), ())', '((3, 1), ((1, 1),))', '((3, 6), ())', '((1, 4), ())', '((3, 2), ((1, 1),))']","[((1, 1), ((1, 1),)), ((3, 1), ()), ((6, 2), ()), ((1, 2), ()), ((9, 4), ()), ((4, 4), ()), ((1, 2), ((1, 1),)), ((3, 3), ()), ((6, 4), ()), ((1, 4), ((1, 1),)), ((9, 2), ()), ((2, 2), ()), ((2, 2), ((1, 1),)), ((8, 2), ()), ((3, 2), ()), ((10, 4), ()), ((8, 4), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((1, 3), ()), ((9, 3), ()), ((1, 3), ((1, 1),)), ((7, 4), ()), ((3, 5), ()), ((2, 1), ()), ((5, 2), ()), ((5, 1), ()), ((2, 1), ((1, 1),))]",20,49,69
31,"((11, 4), ())","((10, 4), ())",East,"[(((12, 4), ()), 'East', 10, 63, 73), (((11, 3), ()), 'South', 10, 61, 71)]","['((5, 6), ())', '((3, 6), ())', '((3, 1), ((1, 1),))', '((3, 2), ((1, 1),))', '((1, 4), ())']","['((5, 6), ())', '((3, 6), ())', '((3, 1), ((1, 1),))', '((3, 2), ((1, 1),))', '((1, 4), ())', '((12, 4), ())', '((11, 3), ())']","[((1, 1), ((1, 1),)), ((3, 1), ()), ((6, 2), ()), ((1, 2), ()), ((9, 4), ()), ((4, 4), ()), ((1, 2), ((1, 1),)), ((3, 3), ()), ((6, 4), ()), ((1, 4), ((1, 1),)), ((9, 2), ()), ((2, 2), ()), ((11, 4), ()), ((2, 2), ((1, 1),)), ((8, 2), ()), ((3, 2), ()), ((10, 4), ()), ((8, 4), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((1, 3), ()), ((9, 3), ()), ((1, 3), ((1, 1),)), ((7, 4), ()), ((3, 5), ()), ((2, 1), ()), ((5, 2), ()), ((5, 1), ()), ((2, 1), ((1, 1),))]",9,62,71
32,"((5, 6), ())","((5, 5), ())",North,"[(((5, 7), ()), 'North', 14, 58, 72), (((6, 6), ()), 'East', 14, 59, 73), (((4, 6), ()), 'West', 14, 57, 71)]","['((3, 6), ())', '((1, 4), ())', '((3, 1), ((1, 1),))', '((3, 2), ((1, 1),))', '((11, 3), ())', '((12, 4), ())']","['((3, 6), ())', '((1, 4), ())', '((3, 1), ((1, 1),))', '((3, 2), ((1, 1),))', '((11, 3), ())', '((12, 4), ())', '((5, 7), ())', '((6, 6), ())', '((4, 6), ())']","[((1, 1), ((1, 1),)), ((3, 1), ()), ((6, 2), ()), ((1, 2), ()), ((9, 4), ()), ((4, 4), ()), ((1, 2), ((1, 1),)), ((3, 3), ()), ((6, 4), ()), ((1, 4), ((1, 1),)), ((9, 2), ()), ((2, 2), ()), ((11, 4), ()), ((2, 2), ((1, 1),)), ((8, 2), ()), ((3, 2), ()), ((10, 4), ()), ((8, 4), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((1, 3), ()), ((5, 6), ()), ((9, 3), ()), ((1, 3), ((1, 1),)), ((7, 4), ()), ((3, 5), ()), ((2, 1), ()), ((5, 2), ()), ((5, 1), ()), ((2, 1), ((1, 1),))]",13,58,71
33,"((3, 6), ())","((3, 5), ())",North,"[(((2, 6), ()), 'West', 16, 55, 71)]","['((1, 4), ())', '((3, 2), ((1, 1),))', '((3, 1), ((1, 1),))', '((4, 6), ())', '((11, 3), ())', '((12, 4), ())', '((5, 7), ())', '((6, 6), ())']","['((1, 4), ())', '((3, 2), ((1, 1),))', '((3, 1), ((1, 1),))', '((4, 6), ())', '((11, 3), ())', '((12, 4), ())', '((5, 7), ())', '((6, 6), ())', '((2, 6), ())']","[((1, 1), ((1, 1),)), ((3, 1), ()), ((6, 2), ()), ((1, 2), ()), ((9, 4), ()), ((4, 4), ()), ((1, 2), ((1, 1),)), ((3, 3), ()), ((6, 4), ()), ((1, 4), ((1, 1),)), ((9, 2), ()), ((2, 2), ()), ((11, 4), ()), ((2, 2), ((1, 1),)), ((8, 2), ()), ((3, 2), ()), ((10, 4), ()), ((8, 4), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((1, 3), ()), ((5, 6), ()), ((3, 6), ()), ((9, 3), ()), ((1, 3), ((1, 1),)), ((7, 4), ()), ((3, 5), ()), ((2, 1), ()), ((5, 2), ()), ((5, 1), ()), ((2, 1), ((1, 1),))]",15,56,71
34,"((1, 4), ())","((1, 3), ())",North,[],"['((3, 1), ((1, 1),))', '((3, 2), ((1, 1),))', '((2, 6), ())', '((4, 6), ())', '((11, 3), ())', '((12, 4), ())', '((5, 7), ())', '((6, 6), ())']","['((3, 1), ((1, 1),))', '((3, 2), ((1, 1),))', '((2, 6), ())', '((4, 6), ())', '((11, 3), ())', '((12, 4), ())', '((5, 7), ())', '((6, 6), ())']","[((1, 1), ((1, 1),)), ((3, 1), ()), ((6, 2), ()), ((1, 2), ()), ((9, 4), ()), ((4, 4), ()), ((1, 2), ((1, 1),)), ((3, 3), ()), ((6, 4), ()), ((1, 4), ()), ((1, 4), ((1, 1),)), ((9, 2), ()), ((2, 2), ()), ((11, 4), ()), ((2, 2), ((1, 1),)), ((8, 2), ()), ((3, 2), ()), ((10, 4), ()), ((8, 4), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((1, 3), ()), ((5, 6), ()), ((3, 6), ()), ((9, 3), ()), ((1, 3), ((1, 1),)), ((7, 4), ()), ((3, 5), ()), ((2, 1), ()), ((5, 2), ()), ((5, 1), ()), ((2, 1), ((1, 1),))]",19,52,71
35,"((3, 1), ((1, 1),))","((2, 1), ((1, 1),))",East,[],"['((3, 2), ((1, 1),))', '((11, 3), ())', '((2, 6), ())', '((4, 6), ())', '((6, 6), ())', '((12, 4), ())', '((5, 7), ())']","['((3, 2), ((1, 1),))', '((11, 3), ())', '((2, 6), ())', '((4, 6), ())', '((6, 6), ())', '((12, 4), ())', '((5, 7), ())']","[((1, 1), ((1, 1),)), ((3, 1), ()), ((6, 2), ()), ((1, 2), ()), ((9, 4), ()), ((4, 4), ()), ((3, 1), ((1, 1),)), ((1, 2), ((1, 1),)), ((3, 3), ()), ((6, 4), ()), ((1, 4), ()), ((1, 4), ((1, 1),)), ((9, 2), ()), ((2, 2), ()), ((11, 4), ()), ((2, 2), ((1, 1),)), ((8, 2), ()), ((3, 2), ()), ((10, 4), ()), ((8, 4), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((1, 3), ()), ((5, 6), ()), ((3, 6), ()), ((9, 3), ()), ((1, 3), ((1, 1),)), ((7, 4), ()), ((3, 5), ()), ((2, 1), ()), ((5, 2), ()), ((5, 1), ()), ((2, 1), ((1, 1),))]",20,51,71
36,"((3, 2), ((1, 1),))","((2, 2), ((1, 1),))",East,"[(((3, 3), ((1, 1),)), 'North', 22, 49, 71)]","['((11, 3), ())', '((4, 6), ())', '((2, 6), ())', '((5, 7), ())', '((6, 6), ())', '((12, 4), ())']","['((11, 3), ())', '((4, 6), ())', '((2, 6), ())', '((5, 7), ())', '((6, 6), ())', '((12, 4), ())', '((3, 3), ((1, 1),))']","[((1, 1), ((1, 1),)), ((3, 1), ()), ((6, 2), ()), ((1, 2), ()), ((9, 4), ()), ((4, 4), ()), ((3, 1), ((1, 1),)), ((1, 2), ((1, 1),)), ((3, 3), ()), ((6, 4), ()), ((1, 4), ()), ((1, 4), ((1, 1),)), ((9, 2), ()), ((2, 2), ()), ((11, 4), ()), ((2, 2), ((1, 1),)), ((8, 2), ()), ((3, 2), ()), ((10, 4), ()), ((3, 2), ((1, 1),)), ((8, 4), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((1, 3), ()), ((5, 6), ()), ((3, 6), ()), ((9, 3), ()), ((1, 3), ((1, 1),)), ((7, 4), ()), ((3, 5), ()), ((2, 1), ()), ((5, 2), ()), ((5, 1), ()), ((2, 1), ((1, 1),))]",21,50,71
37,"((11, 3), ())","((11, 4), ())",South,"[(((11, 2), ()), 'South', 11, 60, 71)]","['((4, 6), ())', '((3, 3), ((1, 1),))', '((2, 6), ())', '((5, 7), ())', '((6, 6), ())', '((12, 4), ())']","['((4, 6), ())', '((3, 3), ((1, 1),))', '((2, 6), ())', '((5, 7), ())', '((6, 6), ())', '((12, 4), ())', '((11, 2), ())']","[((1, 1), ((1, 1),)), ((3, 1), ()), ((6, 2), ()), ((1, 2), ()), ((9, 4), ()), ((4, 4), ()), ((3, 1), ((1, 1),)), ((1, 2), ((1, 1),)), ((3, 3), ()), ((6, 4), ()), ((1, 4), ()), ((1, 4), ((1, 1),)), ((9, 2), ()), ((2, 2), ()), ((11, 4), ()), ((2, 2), ((1, 1),)), ((8, 2), ()), ((3, 2), ()), ((10, 4), ()), ((3, 2), ((1, 1),)), ((8, 4), ()), ((3, 4), ()), ((5, 5), ()), ((5, 4), ()), ((7, 2), ()), ((1, 3), ()), ((5, 6), ()), ((3, 6), ()), ((9, 3), ()), ((1, 3), ((1, 1),)), ((7, 4), ()), ((3, 5), ()), ((2, 1), ()), ((5, 2), ()), ((11, 3), ()), ((5, 1), ()), ((2, 1), ((1, 1),))]",10,61,71
