iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
29,"(13, 1)","(14, 1)",West,"[((12, 1), 'West', 15)]","['(21, 8)', '(20, 9)']","['(21, 8)', '(20, 9)', '(12, 1)']","[(23, 1), (27, 1), (14, 1), (27, 4), (27, 7), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (21, 9), (23, 9), (27, 6), (27, 3), (27, 9), (26, 1), (24, 1), (25, 9), (13, 1), (15, 1), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (24, 9), (26, 9), (21, 1)]",14,0,14
30,"(21, 8)","(21, 9)",South,"[((21, 7), 'South', 16)]","['(20, 9)', '(12, 1)']","['(20, 9)', '(12, 1)', '(21, 7)']","[(23, 1), (27, 1), (14, 1), (27, 4), (27, 7), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (21, 9), (23, 9), (27, 6), (27, 3), (27, 9), (26, 1), (24, 1), (25, 9), (13, 1), (15, 1), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (24, 9), (26, 9), (21, 1)]",15,0,15
31,"(20, 9)","(21, 9)",West,"[((19, 9), 'West', 16)]","['(12, 1)', '(21, 7)']","['(12, 1)', '(21, 7)', '(19, 9)']","[(23, 1), (27, 1), (14, 1), (27, 4), (27, 7), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (21, 9), (23, 9), (27, 6), (27, 3), (27, 9), (26, 1), (24, 1), (25, 9), (13, 1), (15, 1), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (24, 9), (26, 9), (21, 1)]",15,0,15
32,"(12, 1)","(13, 1)",West,"[((11, 1), 'West', 16)]","['(21, 7)', '(19, 9)']","['(21, 7)', '(19, 9)', '(11, 1)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (27, 7), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (21, 9), (23, 9), (27, 6), (27, 3), (27, 9), (26, 1), (24, 1), (25, 9), (13, 1), (15, 1), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (24, 9), (26, 9), (21, 1)]",15,0,15
33,"(21, 7)","(21, 8)",South,[],"['(19, 9)', '(11, 1)']","['(19, 9)', '(11, 1)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (27, 7), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (21, 9), (23, 9), (27, 6), (27, 3), (27, 9), (26, 1), (24, 1), (25, 9), (13, 1), (15, 1), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (24, 9), (26, 9), (21, 1), (21, 7)]",16,0,16
34,"(19, 9)","(20, 9)",West,"[((18, 9), 'West', 17)]","['(11, 1)']","['(11, 1)', '(18, 9)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (27, 7), (19, 9), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (21, 9), (23, 9), (27, 6), (27, 3), (27, 9), (26, 1), (24, 1), (25, 9), (13, 1), (15, 1), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (24, 9), (26, 9), (21, 1), (21, 7)]",16,0,16
35,"(11, 1)","(12, 1)",West,"[((10, 1), 'West', 17)]","['(18, 9)']","['(18, 9)', '(10, 1)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (27, 7), (19, 9), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (21, 9), (23, 9), (27, 6), (27, 3), (27, 9), (11, 1), (26, 1), (24, 1), (25, 9), (13, 1), (15, 1), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (24, 9), (26, 9), (21, 1), (21, 7)]",16,0,16
36,"(18, 9)","(19, 9)",West,"[((17, 9), 'West', 18)]","['(10, 1)']","['(10, 1)', '(17, 9)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (27, 7), (19, 9), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (21, 9), (23, 9), (27, 6), (27, 3), (27, 9), (11, 1), (26, 1), (24, 1), (25, 9), (13, 1), (15, 1), (18, 9), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (24, 9), (26, 9), (21, 1), (21, 7)]",17,0,17
37,"(10, 1)","(11, 1)",West,"[((9, 1), 'West', 18)]","['(17, 9)']","['(17, 9)', '(9, 1)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (27, 7), (19, 9), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (21, 9), (23, 9), (27, 6), (27, 3), (27, 9), (11, 1), (26, 1), (24, 1), (25, 9), (13, 1), (15, 1), (18, 9), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (10, 1), (24, 9), (26, 9), (21, 1), (21, 7)]",17,0,17
38,"(17, 9)","(18, 9)",West,"[((16, 9), 'West', 19)]","['(9, 1)']","['(9, 1)', '(16, 9)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (17, 9), (27, 7), (19, 9), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (21, 9), (23, 9), (27, 6), (27, 3), (27, 9), (11, 1), (26, 1), (24, 1), (25, 9), (13, 1), (15, 1), (18, 9), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (10, 1), (24, 9), (26, 9), (21, 1), (21, 7)]",18,0,18
39,"(9, 1)","(10, 1)",West,"[((8, 1), 'West', 19)]","['(16, 9)']","['(16, 9)', '(8, 1)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (17, 9), (27, 7), (19, 9), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (21, 9), (23, 9), (27, 6), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (25, 9), (13, 1), (15, 1), (18, 9), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (10, 1), (24, 9), (26, 9), (21, 1), (21, 7)]",18,0,18
40,"(16, 9)","(17, 9)",West,"[((15, 9), 'West', 20)]","['(8, 1)']","['(8, 1)', '(15, 9)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (17, 9), (27, 7), (19, 9), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (21, 9), (23, 9), (27, 6), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (25, 9), (13, 1), (15, 1), (16, 9), (18, 9), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (10, 1), (24, 9), (26, 9), (21, 1), (21, 7)]",19,0,19
41,"(8, 1)","(9, 1)",West,"[((7, 1), 'West', 20)]","['(15, 9)']","['(15, 9)', '(7, 1)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (17, 9), (27, 7), (19, 9), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (21, 9), (23, 9), (27, 6), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (25, 9), (13, 1), (15, 1), (16, 9), (18, 9), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (24, 9), (26, 9), (21, 1), (21, 7)]",19,0,19
42,"(15, 9)","(16, 9)",West,"[((15, 8), 'South', 21), ((14, 9), 'West', 21)]","['(7, 1)']","['(7, 1)', '(15, 8)', '(14, 9)']","[(23, 1), (12, 1), (27, 1), (14, 1), (27, 4), (17, 9), (27, 7), (19, 9), (25, 1), (16, 1), (18, 1), (22, 1), (20, 1), (21, 9), (23, 9), (15, 9), (27, 6), (27, 3), (27, 9), (9, 1), (11, 1), (26, 1), (24, 1), (25, 9), (13, 1), (15, 1), (16, 9), (18, 9), (20, 9), (21, 8), (22, 9), (27, 2), (27, 8), (17, 1), (27, 5), (19, 1), (8, 1), (10, 1), (24, 9), (26, 9), (21, 1), (21, 7)]",20,0,20
