iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(23, 3)",None,Start,"[((23, 4), 'North'), ((23, 2), 'South'), ((24, 3), 'East')]",[],"['(24, 3)', '(23, 2)', '(23, 4)']","[(23, 3)]",0,0,0
2,"(23, 4)","(23, 3)",North,"[((23, 5), 'North')]","['(24, 3)', '(23, 2)']","['(23, 5)', '(24, 3)', '(23, 2)']","[(23, 4), (23, 3)]",1,0,1
3,"(23, 2)","(23, 3)",South,[],"['(23, 5)', '(24, 3)']","['(23, 5)', '(24, 3)']","[(23, 4), (23, 2), (23, 3)]",1,0,1
