iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(1, 19)",None,Start,"[((1, 18), 'South', 1, 17, 18), ((2, 19), 'East', 1, 19, 20)]",[],"['(1, 18)', '(2, 19)']","[(1, 19)]",0,18,18
2,"(1, 18)","(1, 19)",South,"[((1, 17), 'South', 2, 16, 18)]","['(2, 19)']","['(1, 17)', '(2, 19)']","[(1, 18), (1, 19)]",1,17,18
3,"(1, 17)","(1, 18)",South,"[((1, 16), 'South', 3, 15, 18)]","['(2, 19)']","['(1, 16)', '(2, 19)']","[(1, 17), (1, 18), (1, 19)]",2,16,18
4,"(1, 16)","(1, 17)",South,"[((1, 15), 'South', 4, 14, 18)]","['(2, 19)']","['(1, 15)', '(2, 19)']","[(1, 17), (1, 18), (1, 19), (1, 16)]",3,15,18
5,"(1, 15)","(1, 16)",South,"[((1, 14), 'South', 5, 13, 18)]","['(2, 19)']","['(1, 14)', '(2, 19)']","[(1, 18), (1, 15), (1, 17), (1, 16), (1, 19)]",4,14,18
6,"(1, 14)","(1, 15)",South,"[((1, 13), 'South', 6, 12, 18)]","['(2, 19)']","['(1, 13)', '(2, 19)']","[(1, 18), (1, 15), (1, 14), (1, 17), (1, 16), (1, 19)]",5,13,18
7,"(1, 13)","(1, 14)",South,"[((2, 13), 'East', 7, 13, 20)]","['(2, 19)']","['(2, 19)', '(2, 13)']","[(1, 18), (1, 15), (1, 14), (1, 17), (1, 13), (1, 16), (1, 19)]",6,12,18
8,"(2, 19)","(1, 19)",East,"[((3, 19), 'East', 2, 20, 22)]","['(2, 13)']","['(2, 13)', '(3, 19)']","[(1, 18), (1, 15), (1, 14), (2, 19), (1, 17), (1, 13), (1, 16), (1, 19)]",1,19,20
9,"(2, 13)","(1, 13)",East,"[((3, 13), 'East', 8, 14, 22)]","['(3, 19)']","['(3, 19)', '(3, 13)']","[(1, 18), (1, 15), (1, 14), (2, 13), (2, 19), (1, 17), (1, 13), (1, 16), (1, 19)]",7,13,20
10,"(3, 19)","(2, 19)",East,"[((4, 19), 'East', 3, 21, 24)]","['(3, 13)']","['(3, 13)', '(4, 19)']","[(1, 18), (1, 15), (1, 14), (2, 13), (2, 19), (1, 17), (3, 19), (1, 13), (1, 16), (1, 19)]",2,20,22
11,"(3, 13)","(2, 13)",East,"[((4, 13), 'East', 9, 15, 24)]","['(4, 19)']","['(4, 19)', '(4, 13)']","[(1, 18), (1, 15), (1, 14), (2, 13), (2, 19), (1, 17), (3, 13), (3, 19), (1, 13), (1, 16), (1, 19)]",8,14,22
12,"(4, 19)","(3, 19)",East,"[((5, 19), 'East', 4, 22, 26)]","['(4, 13)']","['(4, 13)', '(5, 19)']","[(1, 18), (1, 15), (4, 19), (1, 14), (2, 13), (2, 19), (1, 17), (3, 13), (3, 19), (1, 13), (1, 16), (1, 19)]",3,21,24
13,"(4, 13)","(3, 13)",East,"[((5, 13), 'East', 10, 16, 26)]","['(5, 19)']","['(5, 19)', '(5, 13)']","[(1, 18), (1, 15), (4, 19), (4, 13), (1, 14), (2, 13), (2, 19), (1, 17), (3, 13), (3, 19), (1, 13), (1, 16), (1, 19)]",9,15,24
14,"(5, 19)","(4, 19)",East,"[((5, 18), 'South', 5, 21, 26)]","['(5, 13)']","['(5, 13)', '(5, 18)']","[(1, 18), (5, 19), (1, 15), (4, 19), (4, 13), (1, 14), (2, 13), (2, 19), (1, 17), (3, 13), (3, 19), (1, 13), (1, 16), (1, 19)]",4,22,26
15,"(5, 13)","(4, 13)",East,"[((5, 12), 'South', 11, 15, 26)]","['(5, 18)']","['(5, 18)', '(5, 12)']","[(1, 18), (5, 19), (1, 15), (4, 19), (4, 13), (1, 14), (2, 13), (2, 19), (1, 17), (3, 13), (3, 19), (1, 13), (5, 13), (1, 16), (1, 19)]",10,16,26
16,"(5, 18)","(5, 19)",South,"[((5, 17), 'South', 6, 20, 26)]","['(5, 12)']","['(5, 12)', '(5, 17)']","[(1, 18), (5, 19), (1, 15), (4, 19), (4, 13), (1, 14), (2, 13), (2, 19), (1, 17), (3, 13), (3, 19), (1, 13), (5, 13), (1, 16), (1, 19), (5, 18)]",5,21,26
