iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(35, 1)",None,Start,"[((35, 2), 'North', 1, 35, 36), ((34, 1), 'West', 1, 33, 34)]",[],"['(34, 1)', '(35, 2)']","[(35, 1)]",0,34,34
2,"(34, 1)","(35, 1)",West,"[((33, 1), 'West', 2, 32, 34)]","['(35, 2)']","['(33, 1)', '(35, 2)']","[(34, 1), (35, 1)]",1,33,34
3,"(33, 1)","(34, 1)",West,[],"['(35, 2)']","['(35, 2)']","[(33, 1), (34, 1), (35, 1)]",2,32,34
4,"(35, 2)","(35, 1)",North,"[((35, 3), 'North', 2, 36, 38)]",[],"['(35, 3)']","[(35, 2), (33, 1), (34, 1), (35, 1)]",1,35,36
5,"(35, 3)","(35, 2)",North,"[((35, 4), 'North', 3, 37, 40), ((34, 3), 'West', 3, 35, 38)]",[],"['(34, 3)', '(35, 4)']","[(33, 1), (34, 1), (35, 1), (35, 3), (35, 2)]",2,36,38
6,"(34, 3)","(35, 3)",West,"[((33, 3), 'West', 4, 34, 38)]","['(35, 4)']","['(33, 3)', '(35, 4)']","[(33, 1), (34, 1), (35, 1), (34, 3), (35, 3), (35, 2)]",3,35,38
7,"(33, 3)","(34, 3)",West,"[((33, 4), 'North', 5, 35, 40), ((32, 3), 'West', 5, 33, 38)]","['(35, 4)']","['(32, 3)', '(33, 4)', '(35, 4)']","[(33, 1), (34, 1), (35, 1), (33, 3), (34, 3), (35, 3), (35, 2)]",4,34,38
8,"(32, 3)","(33, 3)",West,"[((31, 3), 'West', 6, 32, 38)]","['(35, 4)', '(33, 4)']","['(31, 3)', '(33, 4)', '(35, 4)']","[(33, 1), (34, 1), (35, 1), (32, 3), (33, 3), (34, 3), (35, 3), (35, 2)]",5,33,38
9,"(31, 3)","(32, 3)",West,"[((31, 4), 'North', 7, 33, 40), ((31, 2), 'South', 7, 31, 38)]","['(35, 4)', '(33, 4)']","['(31, 2)', '(35, 4)', '(31, 4)', '(33, 4)']","[(33, 1), (34, 1), (35, 1), (32, 3), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2)]",6,32,38
10,"(31, 2)","(31, 3)",South,"[((31, 1), 'South', 8, 30, 38)]","['(35, 4)', '(33, 4)', '(31, 4)']","['(31, 1)', '(35, 4)', '(31, 4)', '(33, 4)']","[(33, 1), (34, 1), (35, 1), (32, 3), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (31, 2)]",7,31,38
11,"(31, 1)","(31, 2)",South,[],"['(35, 4)', '(33, 4)', '(31, 4)']","['(35, 4)', '(33, 4)', '(31, 4)']","[(33, 1), (34, 1), (35, 1), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (31, 2)]",8,30,38
12,"(35, 4)","(35, 3)",North,"[((35, 5), 'North', 4, 38, 42)]","['(33, 4)', '(31, 4)']","['(33, 4)', '(31, 4)', '(35, 5)']","[(33, 1), (35, 4), (34, 1), (35, 1), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (31, 2)]",3,37,40
13,"(33, 4)","(33, 3)",North,"[((33, 5), 'North', 6, 36, 42)]","['(31, 4)', '(35, 5)']","['(31, 4)', '(35, 5)', '(33, 5)']","[(33, 1), (35, 4), (34, 1), (35, 1), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (31, 2), (33, 4)]",5,35,40
14,"(31, 4)","(31, 3)",North,"[((31, 5), 'North', 8, 34, 42)]","['(35, 5)', '(33, 5)']","['(35, 5)', '(33, 5)', '(31, 5)']","[(33, 1), (35, 4), (34, 1), (35, 1), (31, 4), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (31, 2), (33, 4)]",7,33,40
15,"(35, 5)","(35, 4)",North,[],"['(33, 5)', '(31, 5)']","['(33, 5)', '(31, 5)']","[(33, 1), (35, 5), (35, 4), (34, 1), (35, 1), (31, 4), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (35, 2), (31, 2), (33, 4)]",4,38,42
16,"(33, 5)","(33, 4)",North,"[((33, 6), 'North', 7, 37, 44)]","['(31, 5)']","['(31, 5)', '(33, 6)']","[(33, 1), (35, 5), (35, 4), (34, 1), (35, 1), (31, 4), (32, 3), (31, 1), (33, 3), (34, 3), (35, 3), (31, 3), (33, 5), (35, 2), (31, 2), (33, 4)]",6,36,42
