iteration,expanded_state,parent,action,generated_successors,frontier_before,frontier_after,explored,g,h,f
1,"(1, 1)",None,Start,"[((1, 2), 'North'), ((2, 1), 'East')]",[],"['(2, 1)', '(1, 2)']","[(1, 1)]",0,0,0
2,"(1, 2)","(1, 1)",North,"[((1, 3), 'North'), ((2, 2), 'East')]","['(2, 1)']","['(2, 2)', '(1, 3)', '(2, 1)']","[(1, 1), (1, 2)]",1,0,1
3,"(2, 1)","(1, 1)",East,"[((3, 1), 'East')]","['(2, 2)', '(1, 3)']","['(3, 1)', '(2, 2)', '(1, 3)']","[(1, 1), (1, 2), (2, 1)]",1,0,1
4,"(1, 3)","(1, 2)",North,"[((1, 4), 'North'), ((2, 3), 'East')]","['(3, 1)', '(2, 2)']","['(2, 3)', '(1, 4)', '(3, 1)', '(2, 2)']","[(1, 1), (1, 2), (1, 3), (2, 1)]",2,0,2
5,"(2, 2)","(1, 2)",East,"[((3, 2), 'East')]","['(2, 3)', '(1, 4)', '(3, 1)']","['(3, 2)', '(2, 3)', '(1, 4)', '(3, 1)']","[(1, 2), (2, 1), (1, 1), (2, 2), (1, 3)]",2,0,2
6,"(3, 1)","(2, 1)",East,"[((4, 1), 'East')]","['(3, 2)', '(2, 3)', '(1, 4)']","['(4, 1)', '(3, 2)', '(2, 3)', '(1, 4)']","[(1, 2), (2, 1), (3, 1), (1, 1), (2, 2), (1, 3)]",2,0,2
7,"(1, 4)","(1, 3)",North,"[((2, 4), 'East')]","['(4, 1)', '(3, 2)', '(2, 3)']","['(2, 4)', '(4, 1)', '(3, 2)', '(2, 3)']","[(1, 2), (2, 1), (3, 1), (1, 1), (1, 4), (2, 2), (1, 3)]",3,0,3
8,"(2, 3)","(1, 3)",East,"[((3, 3), 'East')]","['(2, 4)', '(4, 1)', '(3, 2)']","['(3, 3)', '(2, 4)', '(4, 1)', '(3, 2)']","[(1, 2), (2, 1), (3, 1), (1, 1), (1, 4), (2, 3), (2, 2), (1, 3)]",3,0,3
9,"(3, 2)","(2, 2)",East,"[((4, 2), 'East')]","['(3, 3)', '(2, 4)', '(4, 1)']","['(4, 2)', '(3, 3)', '(2, 4)', '(4, 1)']","[(1, 2), (2, 1), (3, 1), (1, 1), (1, 4), (2, 3), (2, 2), (3, 2), (1, 3)]",3,0,3
10,"(4, 1)","(3, 1)",East,"[((5, 1), 'East')]","['(4, 2)', '(3, 3)', '(2, 4)']","['(5, 1)', '(4, 2)', '(3, 3)', '(2, 4)']","[(1, 2), (2, 1), (4, 1), (3, 1), (1, 1), (1, 4), (2, 3), (2, 2), (3, 2), (1, 3)]",3,0,3
11,"(2, 4)","(1, 4)",East,"[((3, 4), 'East')]","['(5, 1)', '(4, 2)', '(3, 3)']","['(3, 4)', '(5, 1)', '(4, 2)', '(3, 3)']","[(2, 4), (1, 2), (2, 1), (4, 1), (3, 1), (1, 1), (1, 4), (2, 3), (2, 2), (3, 2), (1, 3)]",4,0,4
12,"(3, 3)","(2, 3)",East,"[((4, 3), 'East')]","['(3, 4)', '(5, 1)', '(4, 2)']","['(4, 3)', '(3, 4)', '(5, 1)', '(4, 2)']","[(2, 4), (1, 2), (2, 1), (4, 1), (3, 1), (1, 1), (1, 4), (2, 3), (3, 3), (2, 2), (3, 2), (1, 3)]",4,0,4
13,"(4, 2)","(3, 2)",East,"[((5, 2), 'East')]","['(4, 3)', '(3, 4)', '(5, 1)']","['(5, 2)', '(4, 3)', '(3, 4)', '(5, 1)']","[(2, 4), (1, 2), (2, 1), (4, 1), (3, 1), (1, 1), (1, 4), (4, 2), (2, 3), (3, 3), (2, 2), (3, 2), (1, 3)]",4,0,4
14,"(5, 1)","(4, 1)",East,[],"['(5, 2)', '(4, 3)', '(3, 4)']","['(5, 2)', '(4, 3)', '(3, 4)']","[(2, 4), (1, 2), (2, 1), (4, 1), (3, 1), (1, 1), (5, 1), (1, 4), (4, 2), (2, 3), (3, 3), (2, 2), (3, 2), (1, 3)]",4,0,4
15,"(3, 4)","(2, 4)",East,"[((3, 5), 'North')]","['(5, 2)', '(4, 3)']","['(3, 5)', '(5, 2)', '(4, 3)']","[(2, 4), (1, 2), (2, 1), (3, 4), (4, 1), (3, 1), (1, 1), (5, 1), (1, 4), (4, 2), (2, 3), (3, 3), (2, 2), (3, 2), (1, 3)]",5,0,5
16,"(4, 3)","(3, 3)",East,"[((5, 3), 'East')]","['(3, 5)', '(5, 2)']","['(5, 3)', '(3, 5)', '(5, 2)']","[(2, 4), (1, 2), (2, 1), (3, 4), (4, 1), (3, 1), (4, 3), (1, 1), (5, 1), (1, 4), (4, 2), (2, 3), (3, 3), (2, 2), (3, 2), (1, 3)]",5,0,5
